place,title,time,pay,date
인천 남동구, 노랑통닭 만수역점,17:00~01:00,"월급1,850,000",23분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",40분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",40분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",41분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",41분전
서울 영등포, 노랑통닭 노랑통닭 영등포역점,16:00~03:00,"월급2,600,000",41분전
광주 남구, 노랑통닭 광주 학동점,09:30~14:30,"시급9,000",50분전
인천 부평구, 노랑통닭 부평삼산점,17:00~01:00,"월급1,600,000",52분전
서울 용산구, 노랑통닭 용산점,15:30~01:30,"월급2,400,000",59분전
경기 고양시, 노랑통닭 중산점,19:00~24:00,"시급9,000",1시간전
서울 강동구, 노랑통닭 길동점,시간협의,"시급8,800",2시간전
인천 계양구, 노랑통닭 경인교대점,시간협의,"시급10,000",2시간전
경남 진주시, 노랑통닭 진주 초전점,16:00~23:00,"시급8,720",2시간전
서울 양천구, 노랑통닭 신정네거리역점,12:00~02:00,"시급8,720",2시간전
경기 수원시, 노랑통닭 아주대점,17:00~02:30,"월급2,450,000",2시간전
인천 계양구, 노랑통닭 경인교대점,17:00~24:00,"시급9,000",2시간전
경기 수원시, 노랑통닭 아주대점,17:00~02:30,"월급2,450,000",2시간전
인천 연수구, 노랑통닭 송도8공구점,15:00~23:00,"시급8,750",2시간전
인천 연수구, 노랑통닭 송도8공구점,15:00~23:00,"시급8,750",2시간전
서울 강동구, 노랑통닭 길동점,14:00~01:00,"월급2,600,000",2시간전
서울 마포구, 노랑통닭 상수점,16:00~22:00,"시급10,000",2시간전
서울 강서구, 노랑통닭 목동사거리점,17:00~22:00,"시급10,000",2시간전
서울 용산구, 노랑통닭 용산점,15:30~01:30,"월급2,400,000",2시간전
대구 달서구, 노랑통닭 대구 성서점,20:00~01:00,"월급1,300,000",2시간전
대구 달서구, 노랑통닭 대구 성서점,18:00~01:00,"시급8,720",2시간전
대구 달서구, 노랑통닭 대구 성서점,18:00~01:00,"시급8,720",2시간전
인천 남동구, 노랑통닭 만수역점,17:00~01:00,"월급1,850,000",2시간전
경기 평택시, 노랑통닭 평택안중점,18:00~23:00,"시급9,000",2시간전
서울 전체, 노랑통닭 방학점,18:00~01:00,"시급9,000",2시간전
서울 도봉구, 노랑통닭 방학점,18:00~01:00,"시급9,000",2시간전
서울 용산구, 노랑통닭 용산점,15:30~01:30,"월급2,400,000",3시간전
경기 고양시, 노랑통닭 중산점,14:00~01:00,"월급2,500,000",3시간전
경기 수원시, 노랑통닭 아주대점,17:00~02:30,"월급2,450,000",3시간전
강원 강릉시, 노랑통닭 강릉 교동점,18:00~01:00,"시급10,350",3시간전
경기 군포시, 노랑통닭 당동점,시간협의,"시급10,500",3시간전
경기 의정부, 노랑통닭 의정부 회룡역점,15:00~00:00,"월급2,500,000",3시간전
경기 고양시, 노랑통닭 탄현점,15:00~01:00,"월급2,500,000",3시간전
경기 시흥시, 노랑통닭 노랑통닭 시흥대야점,15:00~03:00,"월급2,500,000",4시간전
서울 강남구, 노랑통닭 역삼점,18:00~22:00,"시급8,720",4시간전
서울 송파구, 노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구, 노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구, 노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구, 노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 마포구, 노랑통닭 상수점,16:00~22:00,"시급10,000",4시간전
서울 용산구, 노랑통닭 용산점,15:30~01:30,"월급2,400,000",4시간전
경기 평택시, 노랑통닭 평택안중점,16:00~01:00,"월급2,300,000",4시간전
서울 강서구, 개화산역점,18:00~23:00,"시급8,720",4시간전
서울 강서구, 개화산역점,18:00~23:00,"시급8,720",4시간전
경기 의정부, 노랑통닭 의정부 회룡역점,15:00~00:00,"월급2,500,000",4시간전
인천 연수구, 노랑통닭 송도8공구점,16:00~22:00,"시급8,750",5시간전
