place,title,time,pay,date
대전 유성구, 대전 유성,시간협의,"월급2,030,000",1시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",2시간전
대구 동구, 신세계 동대구,12:00~20:00,"시급8,720",2시간전
서울 영등포, (주)대연,09:30~20:00,"월급1,980,000",3시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",3시간전
인천 부평구, 부평,10:30~22:00,"월급2,030,000",3시간전
경기 용인시, 신세계 죽전,10:00~20:30,"월급1,950,000",4시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",4시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",4시간전
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",5시간전
서울 영등포, (주)대연,시간협의,"시급8,720",6시간전
인천 연수구, 나이키,시간협의,"월급2,050,000",6시간전
서울 강남구, (주)대연,10:30~22:00,"월급2,030,000",7시간전
충북 제천시, (주)대연,시간협의,"월급2,030,000",02/28
충남 천안시, 갤러리아 센터시티 나이키 (대연),10:30~20:00,"월급1,950,000",02/28
서울 중구, 신세계 명동,10:00~20:00,"월급1,980,000",02/28
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",02/28
인천 부평구, 부평,10:30~22:00,"월급2,030,000",02/27
충북 제천시, (주)대연,시간협의,"월급2,030,000",02/27
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",02/25
인천 부평구, 부평,10:30~22:00,"월급2,030,000",02/25
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",02/24
인천 부평구, 부평,10:30~22:00,"월급2,030,000",02/24
