place,title,time,pay,date
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",5분전
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",5분전
충남 천안시, 생각대로 천안지부,10:00~24:00,"건별3,300",5분전
경기 안양시, 생각대로 동안지사,10:00~10:00,"건별3,300",10분전
경기 고양시, 생각대로 탄현점,11:00~02:00,"건별3,300",11분전
경기 고양시, 생각대로 일산동구,11:00~02:00,"건별3,300",11분전
충북 음성군, 생각대로 혁신진천점,시간협의,"건별3,000",14분전
경기 시흥시, 생각대로 월곶지사,시간협의,"월급4,000,000",20분전
서울 송파구, 생각대로 위례지사2,10:00~00:30,"건별3,800",22분전
경기 화성시, 생각대로 남동탄3지사,시간협의,"월급5,000,000",22분전
경기 성남시, 생각대로 위례지사2,10:00~00:30,"건별3,800",22분전
경기 성남시, 생각대로 위례지사2,10:00~00:30,"건별3,800",24분전
부산 남구, 생각대로 남구수영-1호점,시간협의,"건별3,400",24분전
부산 남구, 생각대로 남구수영-1호점,시간협의,"건별3,400",24분전
경기 화성시, 생각대로 남동탄3지사,시간협의,"월급5,000,000",24분전
부산 남구, 생각대로 남구수영-1호점,시간협의,"일급200,000",24분전
경기 화성시, 생각대로 남동탄3지사,시간협의,"월급5,000,000",25분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",28분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",28분전
경기 수원시, 생각대로 수원지사,09:00~06:00,"주급1,500,000",28분전
경북 김천시, 생각대로 김천혁신도시점,11:00~24:00,"일급200,000",37분전
경북 영주시, 생각대로 안동지사,시간협의,"건별4,000",44분전
대구 달성군, 생각대로 현풍지부,00:00~24:00,"건별3,300",44분전
서울 중랑구, 생각대로 성동중랑점,시간협의,"월급4,000,000",45분전
서울 중랑구, 생각대로 성동중랑점,시간협의,"월급4,000,000",45분전
서울 중랑구, 생각대로 성동중랑점,시간협의,"월급4,000,000",45분전
서울 노원구, 생각대로 공릉점,시간협의,"월급4,000,000",45분전
서울 노원구, 생각대로 공릉점,시간협의,"월급4,000,000",45분전
서울 노원구, 생각대로 공릉점,시간협의,"월급4,000,000",45분전
경남 창원시, 생각대로 용원지점,07:00~02:00,"시급15,000",53분전
경기 성남시, 생각대로 북위례지점,10:00~01:00,"건별5,000",56분전
경기 성남시, 생각대로 북위례지점,10:00~01:00,"건별5,000",56분전
경기 성남시, 생각대로 북위례지점,10:00~01:00,"건별5,000",57분전
경기 광주시, 생각대로 오포지사,10:30~00:30,"건별3,800",58분전
경기 광주시, 생각대로 오포지사,10:30~00:30,"건별3,800",58분전
경기 광주시, 생각대로 오포지사,10:30~00:30,"건별3,800",59분전
경북 상주시, 생각대로 상주지점,시간협의,"건별3,400",1시간전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",1시간전
경남 김해시, 생각대로 김해진영점,11:00~01:00,"건별3,000",1시간전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",1시간전
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",1시간전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",1시간전
서울 영등포, 생각대로 여의도지사,시간협의,"건별3,720",1시간전
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",1시간전
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",1시간전
경기 안산시, 생각대로 안산고잔지사,00:00~24:00,"건별3,200",1시간전
대구 달성군, 생각대로 현풍지부,00:00~24:00,"건별3,300",1시간전
경기 안산시, 생각대로 안산고잔지사,00:00~24:00,"건별3,200",1시간전
경기 안산시, 생각대로 안산고잔지사,00:00~24:00,"건별3,200",1시간전
경남 김해시, 생각대로 식스콜동김해,10:00~02:00,"일급150,000",1시간전
