place,title,time,pay,date
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,800",27분전
서울 영등포, 신세계백화점 타임스퀘어점,10:30~18:30,"시급8,800",27분전
광주 서구, 신세계백화점 광주점,10:00~18:00,"시급8,800",1시간전
경남 김해시, 신세계백화점 김해점,11:00~19:00,"시급8,800",2시간전
서울 전체, 신세계백화점 강남점,10:30~20:30,"시급8,800",2시간전
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",2시간전
경기 용인시, 신세계 경기점,10:30~18:30,"시급8,800",2시간전
경기 용인시, 신세계 경기점,10:30~18:30,"시급8,800",3시간전
경남 김해시, 신세계백화점 김해점,11:00~19:00,"시급8,800",3시간전
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,800",4시간전
서울 전체, 신세계백화점 본점,12:00~20:00,"시급8,800",4시간전
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",5시간전
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",02/27
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,800",02/26
경기 하남시, 신세계백화점 하남점,10:30~18:30,"시급8,800",02/26
광주 서구, 신세계백화점 광주점,10:00~18:00,"시급8,800",02/23
경기 용인시, 신세계 경기점,09:00~17:00,"시급8,800",02/17
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,800",02/14
