place,title,time,pay,date
경기 부천시, 현대백화점 중동점,10:00~19:30,"시급8,800",23분전
인천 연수구, 현대프리미엄아울렛 송도점,11:30~21:00,"시급8,800",32분전
서울 전체, 한무쇼핑(주),10:30~20:00,"시급8,800",40분전
서울 강동구, 현대백화점 천호점,10:00~20:30,"시급8,800",46분전
서울 전체, 한무쇼핑(주),10:00~19:30,"시급8,800",52분전
울산 남구, 현대백화점,10:00~20:00,"시급8,800",1시간전
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",2시간전
서울 성북구, 현대백화점 미아점,09:00~18:30,"시급8,800",2시간전
서울 강동구, 현대백화점 천호점,10:00~21:00,"시급8,800",2시간전
서울 강남구, 한무쇼핑(주),10:00~19:30,"시급8,800",3시간전
경기 남양주, 남양주 현대아울렛,10:00~19:00,"시급8,800",3시간전
서울 강동구, 현대백화점 천호점,11:00~18:00,"시급8,800",3시간전
서울 강남구, 현대백화점 무역센터점,10:00~19:30,"시급8,800",3시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~18:00,"시급8,800",4시간전
서울 강동구, 현대백화점 천호점,09:00~18:30,"시급8,800",4시간전
경기 김포시, 현대프리미엄아울렛 김포점,10:00~19:30,"시급8,800",4시간전
서울 서대문, 현대백화점 신촌점,10:00~20:30,"시급8,800",4시간전
서울 성북구, 현대백화점 미아점,10:30~20:00,"시급8,800",4시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~19:00,"시급9,000",5시간전
서울 서대문, 현대백화점 신촌점,10:00~20:30,"시급8,800",5시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급8,800",22시간전
서울 강남구, 현대백화점,10:00~19:00,"시급8,800",02/27
울산 남구, 현대백화점,13:00~17:00,"시급8,800",02/27
서울 강남구, 현대백화점,10:00~20:30,"시급8,800",02/26
경기 성남시, 현대백화점 판교점,12:00~18:00,"시급8,800",02/26
울산 남구, 현대백화점,10:00~19:30,"시급8,800",02/24
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급8,800",02/17
