place,title,time,pay,date
부산 부산진, 홍대개미 롯대백화점 부산본점,10:30~20:30,"월급1,850,000",17분전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",37분전
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",1시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:30~20:30,"월급1,850,000",2시간전
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",2시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",2시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",2시간전
경기 평택시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",2시간전
경기 안성시, 홍대개미 스타필드 안성,11:00~21:00,"월급2,200,000",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:30~20:30,"월급1,850,000",2시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",3시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",3시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",3시간전
광주 서구, 홍대개미상무점,10:00~21:00,"월급1,850,000",4시간전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",4시간전
광주 서구, 홍대개미상무점,10:00~21:00,"월급1,850,000",4시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",5시간전
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",5시간전
광주 서구, 홍대개미상무점,10:00~21:00,"월급1,850,000",6시간전
경기 안성시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",6시간전
경기 평택시, 홍대개미 스타필드 안성점,10:00~15:00,"시급9,000",7시간전
경기 평택시, 홍대개미 갤러리라센터시티점,11:00~21:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미 갤러리라센터시티점,11:00~21:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",7시간전
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",7시간전
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",7시간전
광주 서구, 홍대개미상무점,10:00~21:00,"월급1,850,000",7시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",7시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",7시간전
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",8시간전
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",22시간전
경기 의정부, 홍대개미 신세계의정부점,09:00~19:00,"월급1,850,000",23시간전
서울 동대문, 홍대개미청량리역사점,시간협의,"월급2,150,000",23시간전
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",02/27
경기 안산시, 홍대개미,12:00~16:00,"시급8,720",02/26
대구 동구, 홍대개미 대구신세계백화점,10:00~20:00,"월급1,850,000",02/26
서울 강남구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급2,150,000",02/26
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",02/26
서울 강남구, [홍대개미] 파르나스몰점,시간협의,"시급8,720",02/25
경기 구리시, 홍대개미 구리점,10:30~20:30,"월급1,850,000",02/25
경기 안산시, 홍대개미,13:00~20:30,"시급8,720",02/23
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",02/23
부산 연제구, 홍대개미 홈플 러스 아사아드점,17:30~21:30,"시급8,720",02/21
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",02/21
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",02/20
경기 안산시, 홍대개미,17:00~22:00,"시급8,720",02/19
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",02/19
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",02/19
