place,title,time,pay,date
서울 성동구, 7번가피자한양대점,시간협의,"시급11,000",34분전
부산 기장군, 7번가피자 기장점,12:00~23:00,"시급10,000",46분전
충북 청주시, 7번가피자 율량점,12:00~23:00,"시급9,000",46분전
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",47분전
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",51분전
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",3시간전
경남 창원시, 7번가피자 석동점,17:00~22:00,"시급9,000",3시간전
대전 중구, 7번가피자태평유천점,18:00~23:00,"시급8,720",3시간전
경기 고양시, 7번가피자 화정점,10:30~22:30,"월급2,800,000",3시간전
부산 북구, 7번가피자 덕천만덕모라점,18:00~23:00,"시급10,500",3시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,100,000",3시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",3시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,100,000",3시간전
서울 성동구, 7번가피자한양대점,시간협의,"시급11,000",3시간전
경기 용인시, 7번가피자 수지점,11:00~22:00,"월급2,100,000",3시간전
서울 송파구, 7번가피자 잠실새내점,17:00~22:30,"시급12,500",4시간전
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",4시간전
광주 북구, 7번가피자 운암점,17:00~23:00,"시급8,720",5시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",5시간전
인천 서구, 7번가피자검단점,18:00~21:00,"시급10,500",5시간전
대전 중구, 7번가피자태평유천점,18:00~23:00,"시급8,720",5시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:00,"시급11,000",5시간전
경기 용인시, 7번가피자 동백점,17:00~22:00,"시급8,720",6시간전
경기 고양시, 7번가피자 화정점,10:30~22:30,"월급2,800,000",6시간전
인천 서구, 7번가피자검단점,18:30~21:30,"시급10,500",7시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:00,"시급11,000",7시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",7시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"주급700,000",7시간전
경남 창원시, 7번가피자 석동점,17:00~22:00,"시급9,000",7시간전
대전 중구, 7번가피자태평유천점,18:00~23:00,"시급8,720",7시간전
서울 마포구, 7번가피자 서교망원점,시간협의,"시급8,720",14시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",18시간전
전남 순천시, 7번가피자 순천신대점,16:00~22:00,"시급9,000",18시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",20시간전
울산 중구, 7번가피자 약사병영점,17:00~23:00,"시급8,720",20시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",02/28
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",02/28
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",02/28
충북 청주시, 7번가피자 율량점,12:00~23:00,"시급9,000",02/28
전남 광양시, 7번가 피자 (중마점),17:00~22:00,"시급8,800",02/28
서울 구로구, 7번가 구로가산디지털단지점,17:00~22:30,"시급8,720",02/28
서울 구로구, 7번가피자 구로가산점,시간협의,"건별4,000",02/28
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",02/28
세종 전체, 7번가피자 세종(청사)점,17:00~23:00,"시급11,000",02/27
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",02/27
경기 수원시, 7번가피자 영통점,18:00~21:00,"시급8,800",02/27
경남 창원시, 7번가피자 석동점,17:00~22:00,"시급9,000",02/27
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",02/27
충북 청주시, 7번가피자 율량점,18:00~23:00,"시급9,000",02/27
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",02/27
