place,title,time,pay,date
경기 평택시, AK PLAZA 평택점,09:30~16:30,"시급8,720",5시간전
경기 평택시, AK PLAZA 평택점,09:30~16:30,"시급8,720",5시간전
경기 평택시, AK PLAZA 평택점,09:30~16:30,"시급8,720",5시간전
경기 평택시, AK PLAZA 평택점,09:30~16:30,"시급8,720",5시간전
경기 평택시, AK PLAZA 평택점,09:30~16:30,"시급8,720",5시간전
경기 수원시, AK PLAZA 수원점(AK TOWN,09:00~18:00,"연봉24,000,000",5시간전
경기 수원시, AK PLAZA 수원점(AK TOWN,09:00~18:00,"연봉24,000,000",5시간전
경기 수원시, AK PLAZA 수원점(AK TOWN,09:00~18:00,"연봉24,000,000",5시간전
경기 수원시, AK PLAZA 수원점(AK TOWN,09:00~18:00,"연봉24,000,000",5시간전
경기 수원시, AK PLAZA 수원점(AK TOWN,09:00~18:00,"연봉24,000,000",5시간전
