place,title,time,pay,date
인천 미추홀, CGF(주) 삼첩분식 인천관교점,18:00~21:00,"시급9,500",5시간전
인천 미추홀, CGF(주) 삼첩분식 인천관교점,18:00~21:00,"시급9,500",5시간전
인천 미추홀, CGF(주) 삼첩분식 인천관교점,18:00~21:00,"시급9,500",5시간전
인천 미추홀, CGF(주) 삼첩분식 인천관교점,18:00~21:00,"시급9,500",5시간전
인천 미추홀, CGF(주) 삼첩분식 인천관교점,18:00~21:00,"시급9,500",5시간전
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",02/28
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",02/28
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",02/28
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",02/28
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",02/28
대구 중구, CGF(주) 현덕대창 본사직영점,시간협의,"월급2,400,000",02/28
대구 중구, CGF(주) 현덕대창 본사직영점,시간협의,"월급2,400,000",02/28
대구 중구, CGF(주) 현덕대창 본사직영점,시간협의,"월급2,400,000",02/28
대구 중구, CGF(주) 현덕대창 본사직영점,시간협의,"월급2,400,000",02/28
대구 달서구, CGF(주) 대천국밥 본사직영점,09:00~19:00,"월급2,400,000",02/28
서울 송파구, CGF(주) 삼첩분식 서울문정점,11:00~15:00,"시급10,470",02/28
서울 송파구, CGF(주) 삼첩분식 서울문정점,11:00~15:00,"시급10,470",02/28
서울 송파구, CGF(주) 삼첩분식 서울문정점,11:00~15:00,"시급10,470",02/28
서울 송파구, CGF(주) 삼첩분식 서울문정점,11:00~15:00,"시급10,470",02/28
서울 송파구, CGF(주) 삼첩분식 서울문정점,11:00~15:00,"시급10,470",02/28
대구 중구, CGF(주) 현덕대창 본사직영점,시간협의,"월급2,400,000",02/27
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"시급9,000",02/27
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"시급9,000",02/27
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"시급9,000",02/27
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"시급9,000",02/27
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"시급9,000",02/27
대전 중구, CGF(주) 삼첩분식 대전중구점,시간협의,"시급8,720",02/27
대전 중구, CGF(주) 삼첩분식 대전중구점,시간협의,"시급8,720",02/27
대전 중구, CGF(주) 삼첩분식 대전중구점,시간협의,"시급8,720",02/27
대전 중구, CGF(주) 삼첩분식 대전중구점,시간협의,"시급8,720",02/27
대전 중구, CGF(주) 삼첩분식 대전중구점,시간협의,"시급8,720",02/27
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",02/27
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",02/27
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",02/27
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",02/27
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",02/27
경북 포항시, CGF(주) 삼첩분식 포항흥해점,05:00~08:00,"시급8,720",02/27
경북 포항시, CGF(주) 삼첩분식 포항흥해점,05:00~08:00,"시급8,720",02/27
경북 포항시, CGF(주) 삼첩분식 포항흥해점,05:00~08:00,"시급8,720",02/27
경북 포항시, CGF(주) 삼첩분식 포항흥해점,05:00~08:00,"시급8,720",02/27
경북 포항시, CGF(주) 삼첩분식 포항흥해점,05:00~08:00,"시급8,720",02/27
대구 남구, CGF(주) 삼첩분식 대명점,11:00~14:00,"시급8,720",02/27
대구 남구, CGF(주) 삼첩분식 대명점,11:00~14:00,"시급8,720",02/27
대구 남구, CGF(주) 삼첩분식 대명점,11:00~14:00,"시급8,720",02/27
대구 남구, CGF(주) 삼첩분식 대명점,11:00~14:00,"시급8,720",02/27
대구 남구, CGF(주) 삼첩분식 대명점,11:00~14:00,"시급8,720",02/27
충북 청주시, CGF(주) 삼첩분식 청주 가경점,시간협의,"시급8,720",02/27
충북 청주시, CGF(주) 삼첩분식 청주 가경점,시간협의,"시급8,720",02/27
충북 청주시, CGF(주) 삼첩분식 청주 가경점,시간협의,"시급8,720",02/27
충북 청주시, CGF(주) 삼첩분식 청주 가경점,시간협의,"시급8,720",02/27
