place,title,time,pay,date
서울 중랑구, CU 중화제일점,21:00~09:00,"시급8,720",1분전
서울 광진구, CU 광진광장점,15:00~19:00,"시급8,720",1분전
경기 김포시, CU 김포월곶로드점,06:00~10:00,"시급8,720",4분전
경기 이천시, CU 이천현대7차점,00:00~08:30,"시급8,720",4분전
경기 화성시, CU 화성대양점,시간협의,"시급8,720",5분전
경북 경주시, CU 경주초당길점,21:00~01:00,"시급8,720",5분전
대전 유성구, CU 대전반석6단지점,01:00~07:00,"시급8,720",5분전
경기 이천시, CU 이천현대7차점,00:00~08:30,"시급8,720",5분전
서울 도봉구, CU 창동트리플점,00:00~07:00,"시급8,720",5분전
서울 마포구, CU 합정역빌드웰점,18:00~23:00,"시급8,720",6분전
경기 성남시, CU 분당수내역점,15:00~21:00,"시급8,720",6분전
서울 서대문, CU 신촌세브란스병원점,11:00~19:00,"시급8,720",7분전
부산 북구, CU 금곡율리점,24:00~08:00,"시급8,720",7분전
서울 마포구, CU 합정역빌드웰점,18:00~23:00,"시급8,720",8분전
울산 남구, CU 달동삼성점,24:00~07:00,"시급8,720",8분전
경기 화성시, CU 동탄호수점,07:00~14:30,"시급8,720",8분전
대전 유성구, CU 유성신성점,18:00~02:00,"시급8,720",8분전
서울 양천구, CU 신정하나점,00:00~07:00,"시급8,720",9분전
전남 목포시, CU 목포한일시장점,22:00~08:00,"시급8,720",9분전
경남 창원시, CU 창원대원룸점,21:00~05:00,"시급8,720",9분전
대구 남구, CU 대구두류대로점,시간협의,"주급348,800",9분전
충남 천안시, CU 천안캐슬점,01:00~08:00,"시급9,100",10분전
서울 도봉구, CU 창동트리플점,17:00~00:00,"시급8,720",10분전
경기 고양시, CU 원당래미안점,13:00~17:00,"시급8,720",10분전
서울 구로구, CU 구로조이점,17:00~22:00,"시급8,720",10분전
전남 나주시, CU 나주송월중앙점,24:00~07:00,"시급8,720",10분전
경기 여주시, CU 여주하리점,17:00~24:00,"시급8,720",10분전
충남 서산시, CU 한서대사랑점,15:00~22:00,"시급8,720",12분전
경남 창원시, CU 진해덕산점,17:00~24:00,"시급8,720",12분전
대전 서구, CU 대전탄방시티점,00:00~07:00,"시급8,720",12분전
서울 도봉구, CU 창동트리플점,17:00~00:00,"시급8,720",13분전
경기 시흥시, CU 대야복지로점,12:00~18:00,"월급460,000",13분전
경기 시흥시, CU 시흥장현중앙,20:00~06:00,"시급8,720",13분전
경기 성남시, CU 서현에클라트점,15:00~01:00,"시급8,720",14분전
경기 연천군, CU 연천한탄강점,17:00~23:00,"시급8,720",15분전
대구 수성구, CU 신규점,시간협의,"시급8,720",15분전
경기 안산시, CU 안산가족사랑점,10:00~17:00,"시급8,720",15분전
경기 남양주, CU 광릉수목원점,12:00~19:00,"시급8,720",16분전
충북 청주시, CU 청주율량KT점,00:00~07:00,"시급8,720",16분전
부산 연제구, CU부산교대한양점,22:00~09:00,"시급8,720",16분전
인천 연수구, CU 청학타운점,22:00~08:00,"시급8,720",17분전
경기 연천군, CU 연천한탄강점,23:00~09:00,"시급8,720",18분전
서울 동대문, CU 답십리간데메점,17:00~23:00,"시급8,720",18분전
서울 은평구, CU 새절역점,18:00~21:00,"시급8,720",19분전
대구 동구, CU 대구신서그린빌점,16:00~24:00,"시급8,720",20분전
경기 안산시, CU 안산와동효자점,01:00~07:00,"시급8,720",20분전
대구 동구, CU 대구신서그린빌점,16:00~24:00,"시급8,720",20분전
대구 북구, CU 대현원룸점,18:00~24:00,"시급8,720",20분전
대구 동구, CU 대구신서그린빌점,16:00~24:00,"시급8,720",20분전
인천 서구, CU 심곡대동점,23:00~09:00,"시급8,720",21분전
