place,title,time,pay,date
부산 부산진, 미쏘 서면점,시간협의,"시급8,720",24분전
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",49분전
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",1시간전
경기 고양시, (주)이랜드월드 미쏘 스타필드 삼송점,시간협의,"시급8,720",1시간전
세종 어진동, 스파오 세종AK점 [(주)이랜드월드],시간협의,"시급8,720",1시간전
서울 성북구, (주)이랜드월드,시간협의,"시급8,720",1시간전
전남 광양시, 미쏘 광양점,12:00~21:00,"시급8,720",2시간전
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",2시간전
전남 광양시, 미쏘 광양점,시간협의,"시급8,720",2시간전
인천 남동구, 미쏘인천점,시간협의,"시급8,720",2시간전
울산 중구, (주)이랜드월드,시간협의,"시급8,720",3시간전
울산 남구, 폴더 울산업스퀘어점,시간협의,"시급8,720",3시간전
인천 남동구, 미쏘인천점,시간협의,"시급8,720",3시간전
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",3시간전
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",3시간전
전북 전주시, 미쏘 전주NC점,시간협의,"시급8,720",4시간전
강원 강릉시, 폴더 강릉점,10:30~22:00,"시급8,720",4시간전
경기 안성시, 미쏘 안성 스타필드점,13:00~22:00,"시급8,720",4시간전
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",4시간전
서울 동대문, (주)이랜드월드 미쏘 청량리점,시간협의,"시급8,720",4시간전
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",5시간전
경기 수원시, (주)이랜드월드 미쏘 수원롯데점,13:00~22:00,"시급8,720",6시간전
서울 관악구, (주)이랜드월드,13:00~22:30,"시급8,720",6시간전
서울 강남구, 미쏘 강남점,시간협의,"시급8,720",6시간전
경기 안성시, 미쏘 안성 스타필드점,시간협의,"시급8,720",6시간전
경기 수원시, (주)이랜드월드 스파오,시간협의,"시급8,720",7시간전
경기 수원시, 폴더 롯데수원점,시간협의,"시급8,720",7시간전
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",7시간전
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,13:30~22:30,"시급8,720",8시간전
세종 어진동, 스파오 세종AK점 [(주)이랜드월드],시간협의,"시급8,720",8시간전
서울 성북구, (주)이랜드월드,시간협의,"시급8,720",15시간전
대구 중구, (주)이랜드월드 미쏘 동성로점,13:00~22:00,"시급8,720",19시간전
경기 하남시, 폴더 하남스타필드,12:00~22:00,"시급8,720",20시간전
충북 청주시, 청주 지웰시티몰점,시간협의,"시급8,720",23시간전
충북 청주시, 청주 지웰시티몰점,12:00~21:00,"시급8,720",23시간전
부산 사하구, MIXXO 아트몰링 하단점,시간협의,"시급8,720",23시간전
경남 창원시, (주)이랜드월드 스파오,시간협의,"시급8,720",02/28
서울 동대문, (주)이랜드월드 미쏘 청량리점,시간협의,"시급8,720",02/28
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",02/28
경기 부천시, (주)이랜드월드 스파오,시간협의,"시급8,720",02/27
충북 청주시, 미쏘 (MIXXO) 청주지웰시티몰,시간협의,"시급8,720",02/27
경기 성남시, (주)이랜드월드,12:00~21:00,"시급8,720",02/27
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",02/27
서울 금천구, (주)이랜드월드 스파오,시간협의,"시급8,720",02/27
서울 동대문, (주)이랜드월드 미쏘 청량리점,시간협의,"시급8,720",02/27
경기 성남시, 야탑NC 미쏘,시간협의,"시급8,720",02/26
서울 동대문, (주)이랜드월드 미쏘 청량리점,시간협의,"시급8,720",02/26
경기 안산시, (주)이랜드월드 미쏘 안산점,시간협의,"시급8,720",02/26
서울 강남구, (주)이랜드월드,시간협의,"시급8,720",02/24
경기 고양시, (주)이랜드월드 미쏘 스타필드 삼송점,13:00~22:00,"시급8,720",02/24
