place,title,time,pay,date
서울 강남구, GS리테일 H&B / 신논현역점,18:00~21:00,"시급8,720",12분전
경기 김포시, (주)지에스리테일 랄라블라,10:00~14:30,"시급8,720",14분전
경북 포항시, (주)지에스리테일,15:00~18:30,"시급8,720",53분전
대구 달성군, GS리테일 H&B 랄라블라,17:30~21:00,"시급8,720",1시간전
서울 동작구, (주)지에스리테일 랄라블라 성대시장점,16:00~19:30,"시급8,720",2시간전
경기 성남시, (주)지에스리테일 랄라블라 신흥점,17:30~21:30,"시급8,720",2시간전
경기 광명시, (주)지에스리테일,17:00~20:00,"시급8,720",2시간전
부산 전체, (주)지에스리테일,11:00~15:30,"시급8,720",2시간전
경남 창원시, (주)지에스리테일 랄라블라,18:00~21:30,"시급8,720",2시간전
부산 전체, (주)지에스리테일,17:00~20:30,"시급8,720",2시간전
부산 전체, (주)지에스리테일,11:00~15:30,"시급8,720",3시간전
강원 원주시, (주)GS리테일 랄라블라 원주중앙점,00:00~24:00,"시급8,720",3시간전
경기 김포시, (주)GS리테일 랄라블라 김포구래점,10:00~14:30,"시급8,720",4시간전
경기 김포시, (주)GS리테일 랄라블라 김포구래점,10:00~14:30,"시급8,720",4시간전
강원 원주시, (주)GS리테일 랄라블라 원주중앙점,시간협의,"시급8,720",02/28
경기 성남시, (주)지에스리테일 랄라블라 신흥점,17:30~21:30,"시급8,720",02/27
인천 전체, (주)지에스리테일 랄라블라 인하대점,11:00~14:00,"시급8,720",02/27
서울 금천구, (주)지에스리테일,18:00~22:30,"시급8,720",02/26
서울 강남구, GS리테일 H&B / 신논현역점,18:00~21:00,"시급8,720",02/26
경기 성남시, (주)지에스리테일 랄라블라 신흥점,17:30~21:30,"시급8,720",02/25
서울 관악구, (주)지에스리테일 랄라블라 관악점,10:00~14:30,"시급8,720",02/25
서울 관악구, (주)지에스리테일 랄라블라 관악점,19:00~22:00,"시급8,720",02/25
경기 성남시, (주)지에스리테일,17:00~21:30,"시급8,720",02/24
인천 남동구, GS리테일 랄라블라 인천구월점,10:00~14:30,"시급8,720",02/23
경기 성남시, (주)지에스리테일 랄라블라 신흥점,17:30~21:30,"시급8,720",02/22
대구 중구, 랄라블라,11:00~13:30,"시급8,720",02/19
대구 중구, 랄라블라,17:00~19:00,"시급8,720",02/17
서울 양천구, GS리테일 H&B 랄라블라 파리공원점,18:00~20:30,"시급8,720",02/14
