place,title,time,pay,date
경기 김포시, 김포한강,시간협의,"연봉23,500,000",10분전
경기 고양시, KFC 일산후곡,시간협의,"연봉23,500,000",11분전
경기 고양시, KFC 행신역,시간협의,"연봉23,500,000",13분전
서울 마포구, KFC 상암DMC점,시간협의,"연봉23,500,000",14분전
대전 유성구, KFC 노은역,시간협의,"시급8,720",1시간전
충북 청주시, 청주오창,시간협의,"시급8,720",1시간전
경기 안양시, KFC 안양일번가,18:00~01:30,"시급8,720",1시간전
경기 안성시, KFC 안성중앙로,16:00~24:00,"시급8,720",1시간전
서울 서초구, 방배역,09:30~17:00,"시급8,720",1시간전
경북 경산시, 영남대,09:00~24:00,"시급8,720",1시간전
경기 수원시, KFC 수원역광장,00:00~24:00,"시급8,720",3시간전
경기 군포시, KFC 산본역,09:00~17:00,"시급8,720",3시간전
경기 김포시, 김포한강,17:00~23:00,"시급8,720",3시간전
경북 포항시, 포항양덕DT,09:00~23:00,"시급8,720",3시간전
서울 영등포, 동여의도,16:00~22:30,"시급8,720",3시간전
부산 사하구, KFC 부산하단,18:00~01:00,"시급8,720",3시간전
경기 군포시, KFC 산본역,시간협의,"연봉2,360,000",4시간전
경기 군포시, KFC 산본역,09:00~17:00,"시급8,720",4시간전
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",4시간전
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",4시간전
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",4시간전
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",4시간전
서울 용산구, 한남순천향,09:00~17:00,"시급8,720",4시간전
서울 용산구, 한남순천향,17:00~24:00,"시급8,720",4시간전
대전 유성구, KFC 유성온천,11:00~24:00,"시급8,720",4시간전
경기 안양시, 관양1,16:00~23:30,"시급8,720",4시간전
경기 안양시, 관양1,16:00~23:30,"시급8,720",4시간전
대전 유성구, KFC 노은역,시간협의,"시급8,720",4시간전
경기 고양시, 주엽역,시간협의,"연봉28,000,000",4시간전
경기 부천시, 부천상동HP,시간협의,"시급8,720",5시간전
경기 고양시, KFC 행신역,17:00~24:00,"시급8,720",5시간전
경기 고양시, KFC 행신역,17:00~24:00,"시급8,720",5시간전
경기 고양시, KFC 행신역,17:00~24:00,"시급8,720",5시간전
경기 고양시, 일산장항,시간협의,"연봉20,000,000",5시간전
서울 구로구, 구로디지털2,09:00~18:00,"연봉24,500,000",17시간전
서울 영등포, KFC 당산역,시간협의,"시급8,720",18시간전
경기 광명시, 하안동,시간협의,"연봉24,500,000",21시간전
서울 동작구, KFC 중앙대,09:00~24:00,"시급8,720",02/28
경기 안양시, 안양호계,시간협의,"연봉23,600,000",02/28
경북 경산시, 영남대,09:00~24:00,"시급8,720",02/27
경북 경산시, 영남대,09:00~24:00,"시급8,720",02/27
경기 수원시, 영통씨네마,시간협의,"시급8,720",02/27
경기 수원시, 수원인계DT,15:00~24:00,"연봉25,000,000",02/27
경기 수원시, 수원인계DT,15:00~24:00,"연봉25,000,000",02/27
경기 용인시, 용인에버랜드,09:00~19:30,"시급8,720",02/27
경기 용인시, 용인에버랜드,09:00~19:30,"시급8,720",02/27
서울 강남구, 코엑스MALL,시간협의,"시급8,720",02/27
서울 강남구, 코엑스MALL,시간협의,"시급8,720",02/27
서울 종로구, 광화문,17:00~23:00,"시급8,720",02/27
서울 전체, 동대문,시간협의,"시급8,720",02/27
