place,title,time,pay,date
광주 서구, 서광주역주유소,15:00~21:00,"시급8,750",1시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",2시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",2시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",2시간전
경북 포항시, SK강변주유소,시간협의,"시급8,720",19시간전
경기 용인시, 풍덕천셀프주유소,09:00~18:00,"시급8,720",02/28
경기 광주시, 기름나라주유소,15:00~24:00,"월급2,350,000",02/28
대구 동구, 국제주유소,12:00~18:00,"시급8,720",02/28
대구 동구, 국제주유소,10:00~18:00,"시급8,720",02/28
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",02/28
경기 시흥시, SK에너지 SK명성주유소,09:00~18:00,"월급2,350,000",02/28
경기 안산시, 준오토조이(주)성우주유소,14:00~01:00,"월급2,600,000",02/27
경기 오산시, 기룡셀프주유소,15:00~21:00,"시급8,720",02/27
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",02/27
서울 송파구, 한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",02/27
경남 양산시, 대진주유소,07:00~13:00,"시급8,720",02/27
경기 안산시, (주)대한석유한대역주유소,09:00~19:00,"월급2,650,000",02/27
부산 수영구, 금호주유소,14:00~18:30,"시급8,720",02/26
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",02/26
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",02/26
경남 함안군, 아라주유소,18:00~21:30,"시급9,000",02/25
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",02/25
경기 여주시, 성신주유소,16:00~19:00,"시급9,000",02/25
경기 평택시, sk 이에스주유소,07:00~17:00,"월급2,400,000",02/25
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",02/25
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",02/24
서울 영등포, 한경석유주식회사경덕주유소,05:00~15:00,"월급2,450,000",02/24
세종 전체, 새롬주유소,10:00~20:30,"시급8,720",02/24
경기 광주시, 서민주유소,08:00~18:00,"시급8,720",02/24
경기 용인시, SK에너지 풍덕천셀프주유소,09:00~18:00,"월급2,350,000",02/24
경북 전체, 태성주유소,09:00~18:00,"월급2,200,000",02/24
경기 안산시, (주)대한석유한대역주유소,13:00~23:00,"월급2,700,000",02/24
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",02/24
경기 용인시, 언남신도시주유소,09:00~19:00,"시급8,800",02/23
경기 용인시, 언남신도시주유소,18:00~04:00,"시급8,800",02/23
인천 부평구, 삼성세차장(손세차장),08:00~18:00,"월급2,300,000",02/23
서울 마포구, 양지세차장,08:00~18:00,"월급2,300,000",02/23
경북 구미시, 상모제일self주유소,08:00~19:00,"시급8,720",02/23
경기 평택시, sk 이에스주유소,07:00~17:00,"월급2,400,000",02/23
경기 안산시, (주)대한석유한대역주유소,13:00~23:00,"월급2,700,000",02/23
서울 강남구, SK에너지 뉴서울주유소,09:00~16:00,"시급8,720",02/23
경기 의정부, 호국셀프주유소,시간협의,"월급2,100,000",02/22
경기 전체, 삼미상사(주)평화로주유소,14:00~20:00,"월급2,400,000",02/22
경기 여주시, 성신주유소,시간협의,"월급2,000,000",02/22
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",02/22
경기 안산시, (주)대한석유한대역주유소,13:00~23:00,"월급2,700,000",02/22
부산 전체, 새동창주유소,09:00~15:30,"월급1,600,000",02/22
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",02/22
전북 군산시, sk나운주유소,15:00~22:00,"시급8,720",02/22
경기 안산시, (주)대한석유한대역주유소,23:00~09:00,"일급120,000",02/21
