place,title,time,pay,date
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,720",3시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",3시간전
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",5시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",5시간전
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,720",15시간전
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,720",15시간전
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",19시간전
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",19시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",23시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",02/27
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",02/27
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",02/27
서울 송파구, TGIF 잠실점,00:00~24:00,"시급8,720",02/25
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,720",02/25
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,13:00~22:00,"시급8,720",02/25
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,13:00~22:00,"시급8,720",02/24
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,720",02/24
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,720",02/24
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",02/23
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",02/23
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",02/21
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,720",02/20
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,720",02/20
경기 안양시, TGIF 롯데평촌점,17:30~23:00,"시급8,720",02/18
경기 파주시, TGI FRIDAYS 파주아울렛점,18:00~23:00,"시급8,720",02/18
경기 용인시, TGI FRIDAYS 롯데몰수지점,10:00~15:30,"시급8,720",02/13
