place,title,time,pay,date
전남 나주시, 크라운호프 나주혁신점,19:00~01:00,"시급9,000",16분전
울산 울주군, 크라운호프 울산천상,20:00~02:30,"시급8,720",18분전
전남 여수시, 크라운호프 여수죽림점,19:30~22:30,"시급8,720",28분전
울산 북구, 크라운호프 울산호계,시간협의,"시급9,000",41분전
광주 북구, 크라운호프 광주운암점,20:00~03:00,"시급8,720",53분전
경남 김해시, 크라운호프 김해주촌,17:00~24:00,"시급8,720",1시간전
경기 성남시, 크라운호프 산성점,06:00~22:00,"시급9,000",1시간전
충남 천안시, 크라운호프 천안성성점,20:00~01:00,"시급8,720",1시간전
광주 서구, 크라운호프 광주쌍촌점,22:00~06:00,"시급8,800",1시간전
광주 서구, 크라운호프 광주쌍촌점,18:00~06:00,"시급8,800",1시간전
경기 부천시, 크라운호프 송내영화의거리,시간협의,"월급2,200,000",2시간전
대구 달성군, 크라운호프 현풍테크노폴리스점,20:00~00:00,"시급9,500",2시간전
광주 광산구, 크라운호프 광주신창,시간협의,"시급10,000",2시간전
광주 광산구, 크라운호프 광주신창,시간협의,"시급8,720",2시간전
대전 유성구, 경성주막1929 대전관평점,06:00~00:00,"시급8,800",3시간전
인천 중구, 크라운호프 운남점,16:00~02:00,"시급9,000",3시간전
경남 김해시, 크라운호프 김해삼계점,17:00~03:00,"시급10,000",3시간전
경북 김천시, 경성주막1929 김천,17:00~02:00,"월급2,100,000",3시간전
경북 김천시, 경성주막1929 김천,17:00~02:00,"월급2,100,000",3시간전
경북 김천시, 경성주막1929 김천,17:00~02:00,"월급2,100,000",3시간전
광주 남구, 크라운호프 봉선점,23:00~02:00,"시급9,000",4시간전
경북 구미시, 크라운호프 구미문성점,시간협의,"시급8,720",4시간전
경기 김포시, 크라운호프 김포풍무점,시간협의,"시급10,000",4시간전
경기 시흥시, 크라운호프 목감물왕점,17:00~23:00,"시급9,500",4시간전
울산 북구, 크라운호프 울산호계,시간협의,"시급9,000",4시간전
경남 김해시, 크라운호프 김해삼계점,17:00~03:00,"시급10,000",4시간전
광주 서구, 크라운호프 광주상무점,20:00~02:00,"시급8,720",4시간전
인천 미추홀, 크라운호프 인천도화점,16:00~22:00,"시급8,720",4시간전
광주 서구, 크라운호프 광주상무점,18:00~02:00,"시급9,000",5시간전
경기 부천시, 크라운호프 부천도당점,18:00~02:00,"시급9,000",5시간전
인천 미추홀, 크라운호프 인천용현점,시간협의,"시급8,720",5시간전
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,500,000",5시간전
인천 부평구, 크라운호프 인천동암점,시간협의,"시급9,000",5시간전
경남 김해시, 크라운호프 김해삼계점,17:00~03:00,"시급10,000",5시간전
경북 경주시, 크라운호프 경주안강,17:00~01:00,"시급8,720",5시간전
경남 김해시, 크라운호프 김해삼계점,17:00~03:00,"시급10,000",5시간전
경북 경주시, 금복주류 경주용황점,17:00~02:00,"월급2,050,000",5시간전
경기 시흥시, 크라운호프 시흥신천점,17:00~22:00,"시급9,000",5시간전
인천 부평구, 크라운호프 인천동암점,08:00~13:00,"시급9,000",5시간전
전북 전주시, 크라운호프 송천2호점,22:00~03:00,"시급8,720",5시간전
울산 전체, 크라운호프 울산병영,20:00~01:00,"시급9,000",5시간전
경북 경주시, 크라운호프 경주동천점,17:00~02:00,"시급8,720",6시간전
전북 전주시, 크라운호프 송천2호점,22:00~03:00,"시급8,720",6시간전
인천 부평구, 크라운호프 인천백운역,17:00~03:00,"월급2,300,000",6시간전
경북 김천시, 경성주막1929 김천,17:00~02:00,"월급2,100,000",7시간전
경북 김천시, 경성주막1929 김천,17:00~02:00,"월급2,100,000",7시간전
전북 익산시, 크라운호프 익산모현2호점,시간협의,"시급9,000",7시간전
울산 북구, 크라운호프 울산송정,시간협의,"시급8,720",8시간전
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,500,000",8시간전
부산 사하구, 크라운호프 부산동아대,20:00~04:00,"월급1,700,000",13시간전
