place,title,time,pay,date
경기 시흥시, 교촌치킨 경기서부 목감신도시2호점,11:30~22:30,"월급2,500,000",8분전
서울 강동구, 교촌치킨 서울 성내,12:00~00:30,"시급11,000",11분전
서울 강동구, 교촌치킨 서울 성내,17:00~24:00,"시급10,000",12분전
서울 종로구, 교촌치킨 서울 대학로,11:00~17:30,"시급11,000",19분전
전남 순천시, 교촌치킨 전남 조례,18:00~00:00,"시급10,000",19분전
전북 전주시, 교촌치킨 전주 효자,18:00~24:00,"시급9,000",22분전
충남 아산시, 교촌치킨 탕정지중해,17:00~22:00,"시급9,000",23분전
서울 강서구, 교촌치킨 마곡역,12:00~24:00,"월급3,200,000",23분전
경기 여주시, 교촌치킨 여주 여주1호,17:00~23:00,"시급9,000",25분전
강원 춘천시, 교촌치킨 춘천 퇴계2호,18:00~23:00,"시급9,000",26분전
서울 영등포, 교촌치킨 신길1호,18:00~00:00,"시급8,720",26분전
경기 시흥시, 교촌치킨 배곧신도시1호점,12:00~11:00,"월급2,500,000",28분전
경기 시흥시, 교촌치킨 배곧신도시1호점,12:00~11:00,"월급2,500,000",29분전
경남 진주시, 교촌치킨 진주 판문평거,18:00~24:00,"시급8,720",30분전
서울 동작구, 교촌치킨 서울 상도터널,17:00~00:00,"시급11,000",30분전
경기 시흥시, 교촌치킨 배곧신도시1호점,06:00~22:00,"시급8,720",35분전
경북 경산시, 교촌치킨 경산 경산오거리,18:00~24:00,"시급9,000",36분전
경북 구미시, 교촌치킨 구미 송정,시간협의,"시급8,720",36분전
서울 동작구, 교촌치킨 서울 상도터널,17:00~00:00,"시급11,000",40분전
울산 전체, 교촌치킨 진장명촌,17:30~22:30,"시급8,720",43분전
서울 도봉구, 교촌치킨 서울북부 방학점,18:00~24:00,"시급10,000",43분전
서울 도봉구, 교촌치킨 서울북부 방학점,18:00~24:00,"시급10,000",45분전
서울 강동구, 교촌치킨 서울동부 명일1호점,17:00~24:00,"시급9,500",50분전
인천 남동구, 교촌치킨 인천 만수2호,17:00~24:00,"일급73,500",53분전
경기 화성시, 교촌치킨 화성직영매장,18:00~22:00,"시급8,720",57분전
제주 제주시, 교촌치킨 함덕,12:00~24:00,"월급2,800,000",1시간전
경기 안양시, 교촌치킨 안양1호,18:00~24:00,"시급9,000",1시간전
서울 도봉구, 교촌치킨 창동,18:00~23:00,"시급10,500",1시간전
대구 북구, 교촌치킨 대구동부 연경점,16:00~22:00,"시급9,000",1시간전
경기 여주시, 교촌치킨 여주대점,17:00~24:00,"시급9,000",1시간전
서울 강동구, 교촌치킨 서울동부 명일1호점,17:00~24:00,"시급9,500",1시간전
서울 동대문, 교촌치킨 청량리역점,17:00~12:00,"시급10,000",1시간전
충북 청주시, 교촌치킨 강서,17:00~24:00,"시급10,500",1시간전
서울 동대문, 교촌치킨 청량리역점,17:00~12:00,"시급10,000",1시간전
충북 청주시, 교촌치킨 강서,17:00~23:00,"시급9,200",1시간전
광주 북구, 교촌치킨 광주지사 매곡점,17:00~01:30,"시급8,720",1시간전
광주 북구, 교촌치킨 광주지사 매곡점,17:00~01:30,"시급8,720",1시간전
충북 청주시, 교촌치킨 강서,18:00~21:00,"시급9,200",1시간전
광주 북구, 교촌치킨 광주지사 매곡점,17:00~01:30,"시급8,720",1시간전
광주 북구, 교촌치킨 광주지사 매곡점,17:00~01:30,"시급8,720",1시간전
대구 북구, 교촌치킨 대구 복현1호,18:00~24:00,"시급8,720",1시간전
대구 남구, 교촌치킨 대구 이천대봉,17:00~24:00,"시급9,000",1시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~00:00,"시급10,500",1시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~01:00,"시급9,000",1시간전
경북 경산시, 교촌치킨 경산 계양사동,18:00~24:00,"시급8,720",1시간전
서울 종로구, 교촌치킨 서울 숭인,13:00~01:00,"시급8,800",1시간전
서울 종로구, 교촌치킨 서울 숭인,13:00~01:00,"시급8,800",1시간전
부산 금정구, 교촌치킨 구서1호,18:00~24:00,"시급8,720",1시간전
부산 금정구, 교촌치킨 구서1호,18:00~24:00,"시급8,720",1시간전
경기 김포시, 교촌치킨 김포 풍무,18:00~24:00,"시급10,000",1시간전
