place,title,time,pay,date
서울 강남구, 깐부치킨 학동역점,18:30~21:30,"시급12,000",28분전
서울 강남구, 깐부치킨 세곡점,15:00~01:00,"월급2,700,000",57분전
서울 전체, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",3시간전
서울 전체, 깐부치킨 성수갤러리아포레점,11:00~09:00,"월급2,500,000",3시간전
경기 의정부, 깐부치킨 의정부신곡점,18:00~23:00,"시급8,720",4시간전
서울 서초구, 깐부치킨 예술의전당점,17:00~22:00,"시급8,720",5시간전
서울 강남구, 깐부치킨 역삼스타타워점,18:00~01:00,"시급10,000",5시간전
서울 강남구, 깐부치킨 역삼스타타워점,17:00~01:00,"월급2,000,000",5시간전
서울 강남구, 깐부치킨 역삼스타타워점,15:00~01:00,"월급2,400,000",5시간전
서울 성동구, 깐부치킨 금호점,16:00~23:00,"시급9,000",6시간전
서울 강남구, 깐부치킨 성복삼계탕점,10:00~22:00,"월급2,500,000",7시간전
서울 전체, 깐부치킨 성복삼계탕점,10:30~14:30,"시급9,000",7시간전
인천 연수구, 깐부치킨 68공구마리나베이점,18:00~01:30,"시급8,720",02/27
서울 강남구, 깐부치킨 일원점,14:00~21:00,"시급9,000",02/27
경기 성남시, 깐부치킨 깐부치킨판교역점,16:00~24:00,"시급8,720",02/27
대전 서구, 깐부치킨 대전시청점,15:30~01:30,"월급2,000,000",02/27
서울 강남구, 깐부치킨 개포점,21:00~01:30,"시급9,000",02/27
서울 강남구, 깐부치킨 개포점,16:00~01:30,"시급9,000",02/27
서울 강남구, 깐부치킨 역삼스타타워점,17:00~01:00,"월급2,000,000",02/26
서울 강남구, 깐부치킨 학동역점,17:00~03:00,"시급12,000",02/26
서울 용산구, 깐부치킨 용산파크해링턴점,17:00~03:00,"시급12,000",02/26
경기 안산시, 깐부치킨 안산신길지구점,시간협의,"월급2,500,000",02/26
경기 안산시, 깐부치킨 안산신길지구점,시간협의,"시급8,900",02/26
경기 용인시, 깐부치킨 수지구청점,19:00~01:30,"시급8,720",02/26
서울 용산구, 깐부치킨 용산푸르지오써밋점,14:00~01:00,"월급3,000,000",02/26
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~01:00,"시급8,720",02/26
서울 용산구, 깐부치킨 용산푸르지오써밋점,14:00~01:00,"월급3,000,000",02/26
대전 서구, 깐부치킨 대전시청점,15:30~01:30,"월급2,000,000",02/25
서울 서초구, 깐부치킨 사당역점,16:00~02:00,"월급2,400,000",02/23
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",02/22
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~01:00,"시급8,720",02/22
서울 용산구, 깐부치킨 용산푸르지오써밋점,14:00~01:00,"월급3,000,000",02/22
경기 성남시, 깐부치킨 정자동까페거리점,18:00~01:00,"시급8,720",02/22
서울 중구, 깐부치킨 서울역한라비발디점,18:00~23:30,"시급8,720",02/20
서울 중구, 깐부치킨 서울역한라비발디점,18:00~23:30,"시급8,720",02/20
서울 중구, 깐부치킨 서울역한라비발디점,18:00~23:30,"시급8,720",02/20
서울 강서구, 깐부치킨 마곡중앙점,시간협의,"시급10,000",02/20
서울 서초구, 깐부치킨 예술의전당점,15:00~24:00,"시급10,000",02/19
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",02/19
서울 서초구, 깐부치킨 사당역점,16:00~02:00,"월급2,400,000",02/19
경기 안산시, 깐부치킨 안산신길지구점,시간협의,"월급2,500,000",02/13
