place,title,time,pay,date
대구 남구, 다이소 대구명덕네거리점,16:00~22:00,"시급8,720",15분전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,"시급8,720",16분전
대구 달서구, 다이소 대구서부점,16:00~22:00,"시급8,720",16분전
대구 수성구, 다이소 대구시지점,16:00~22:00,"시급8,720",19분전
대구 달서구, 다이소 대구신당점,09:30~18:30,"월급1,822,480",20분전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",22분전
경북 영천시, 다이소 영천시청점,09:30~18:30,"월급1,822,480",23분전
경북 경산시, 다이소 경산영남대점,08:30~17:30,"월급1,822,480",23분전
대구 수성구, 다이소 대구들안길네거리점,13:00~19:00,"시급8,720",24분전
경북 경산시, 다이소 경산영남대점,10:00~16:00,"시급8,720",24분전
경북 경산시, 다이소 경산옥산점,08:30~14:30,"시급8,720",24분전
광주 광산구, 다이소 광주수완2호점,10:00~16:00,"시급8,720",25분전
경북 경산시, 다이소 경산하양점,16:00~22:00,"시급8,720",25분전
광주 광산구, 다이소 광주수완2호점,10:00~16:00,"시급8,720",25분전
대구 달서구, 다이소 영남현장CS팀,09:30~18:30,"월급1,822,480",25분전
경북 경산시, 다이소 경산하양점,08:30~17:30,"월급1,822,480",25분전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,"시급8,720",26분전
울산 북구, 다이소 울산신천점,09:00~15:00,"시급8,720",27분전
대구 달서구, 다이소 대구서부점,16:00~22:00,"시급8,720",28분전
대구 수성구, 다이소 대구시지점,16:00~22:00,"시급8,720",28분전
대구 달서구, 다이소 대구신당점,09:30~18:30,"월급1,822,480",30분전
대구 달서구, 다이소 대구신당점,09:30~18:30,"월급1,822,480",31분전
부산 부산진, 성황리마트개금점,07:00~13:00,"시급8,720",32분전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",32분전
경북 영천시, 다이소 영천시청점,09:30~18:30,"월급1,822,480",33분전
부산 부산진, 성황리마트개금점,07:00~13:00,"시급8,720",33분전
대구 수성구, 다이소 대구들안길네거리점,13:00~19:00,"시급8,720",33분전
부산 부산진, 성황리마트개금점,07:00~13:00,"시급8,720",34분전
대구 달서구, 다이소 영남현장CS팀,09:30~18:30,"월급1,822,480",34분전
대구 달서구, 다이소 영남 오픈리베로,09:30~18:30,"월급1,822,480",35분전
울산 동구, 다이소 울산방어점,08:30~14:30,"시급8,720",36분전
울산 북구, 다이소 울산신천점,09:00~15:00,"시급8,720",37분전
울산 울주군, 다이소 메가마트언양점,15:00~21:00,"시급8,720",38분전
울산 울주군, 다이소 메가마트언양점,10:00~16:00,"시급8,720",39분전
대전 동구, 다이소 대전본점,16:00~22:00,"시급8,720",1시간전
울산 동구, 다이소 울산남목점,09:00~22:30,"시급8,720",2시간전
경기 시흥시, 다이소 롯데마트시흥배곧점,10:00~16:00,"시급8,720",2시간전
충남 계룡시, 다이소 홈플러스계룡점,08:00~11:00,"시급8,720",2시간전
경기 광주시, 다이소 상상초월마트광주점,시간협의,"시급8,720",3시간전
광주 광산구, 다이소 나주혁신점,10:00~16:00,"시급8,720",3시간전
대전 중구, 다이소 대전오류점,10:00~16:00,"시급8,720",3시간전
전남 나주시, 다이소 나주혁신점,10:00~16:00,"시급8,720",3시간전
충북 충주시, 다이소 충주법원사거리점,09:00~15:00,"시급8,720",3시간전
충남 천안시, 다이소 천안성정2호점,09:00~22:00,"시급8,720",3시간전
충남 천안시, 다이소 천안청수지구점,09:00~15:00,"시급8,720",3시간전
충남 태안군, 다이소 태안터미널점,09:00~15:00,"시급8,720",3시간전
충남 천안시, 다이소 천안불당점,09:00~15:00,"시급8,720",3시간전
충남 서산시, 다이소 중호현장CS팀,09:00~15:00,"시급8,720",3시간전
충남 계룡시, 다이소 계룡점,11:00~14:00,"시급8,720",3시간전
제주 제주시, 다이소 제주연동점,10:00~16:00,"시급8,720",3시간전
