place,title,time,pay,date
세종 소담동, 대한곱창 세종소담점,18:30~22:00,"시급9,000",2시간전
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",3시간전
서울 강남구, 대한곱창 신사점,시간협의,"시급10,500",4시간전
서울 강남구, 대한곱창 신사점,시간협의,"시급10,500",4시간전
경기 남양주, 대한곱창 마석점,16:30~22:30,"시급9,000",4시간전
경기 남양주, 대한곱창 마석점,16:30~22:30,"시급9,000",4시간전
경기 남양주, 대한곱창 마석점,16:30~22:30,"시급9,000",4시간전
충북 청주시, 대한곱창 청주동남점,시간협의,"월급2,300,000",4시간전
충북 청주시, 대한곱창 청주동남점,시간협의,"시급9,500",4시간전
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",4시간전
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",4시간전
서울 노원구, 대한곱창 석계역점,14:30~01:00,"월급2,500,000",4시간전
서울 노원구, 대한곱창 석계역점,14:30~01:00,"월급2,500,000",4시간전
울산 남구, 대한곱창 울산달동점,18:00~00:00,"시급8,800",5시간전
울산 남구, 대한곱창 울산달동점,18:00~00:00,"시급8,800",5시간전
울산 남구, 대한곱창 울산달동점,18:00~00:00,"시급8,800",5시간전
울산 남구, 대한곱창 울산달동점,18:00~00:00,"시급8,800",5시간전
세종 소담동, 대한곱창 세종소담점,17:30~21:30,"시급9,000",5시간전
서울 노원구, 대한곱창 석계역점,14:30~01:00,"월급2,500,000",5시간전
경기 광주시, 대한곱창 광주초월점,15:00~01:00,"월급2,400,000",6시간전
경기 광주시, 대한곱창 광주초월점,15:00~01:00,"월급2,400,000",6시간전
서울 강남구, 대한곱창 신사점,시간협의,"시급10,500",6시간전
서울 강남구, 대한곱창 신사점,시간협의,"시급10,500",6시간전
서울 노원구, 대한곱창 석계역점,14:30~01:00,"월급2,500,000",21시간전
충북 청주시, 대한곱창 청주동남점,시간협의,"시급9,500",21시간전
경기 남양주, 대한곱창 마석점,16:30~22:30,"시급9,000",02/28
부산 남구, 대한곱창 부산경성대점,16:00~19:00,"시급8,720",02/28
경기 용인시, 대한곱창 수지구청점,18:00~22:00,"시급10,000",02/27
경기 성남시, 대한곱창 위례점,17:00~21:00,"시급8,720",02/27
경기 성남시, 대한곱창 위례점,18:00~19:00,"시급8,720",02/27
경기 광주시, 대한곱창 광주초월점,15:00~01:00,"월급2,400,000",02/26
부산 금정구, 대한곱창 부산대점,시간협의,"시급8,750",02/26
부산 금정구, 대한곱창 부산대점,시간협의,"시급8,750",02/26
부산 금정구, 대한곱창 부산대점,시간협의,"시급8,750",02/26
부산 금정구, 대한곱창 부산대점,시간협의,"시급8,750",02/26
세종 나성동, 대한곱창 세종나성점,15:00~02:00,"시급9,500",02/25
충북 청주시, 대한곱창 청주율량점,16:00~22:00,"시급9,000",02/25
대전 유성구, 대한곱창 대전엑스포점,15:00~23:30,"시급9,000",02/25
서울 광진구, 대한곱창 군자점,15:00~02:00,"월급3,500,000",02/24
서울 성동구, 대한곱창 한양대점,18:00~22:00,"시급9,000",02/23
서울 성동구, 대한곱창 한양대점,18:00~22:00,"시급9,000",02/23
서울 성동구, 대한곱창 한양대점,18:00~22:00,"시급9,000",02/23
서울 성동구, 대한곱창 한양대점,18:00~22:00,"시급9,000",02/23
전북 익산시, 대한곱창 익산모현점,15:00~21:00,"시급8,720",02/23
서울 광진구, 대한곱창 군자점,15:00~02:00,"월급2,700,000",02/23
경기 수원시, 대한곱창 수원호매실점,시간협의,"시급10,000",02/23
경기 수원시, 대한곱창 수원호매실점,시간협의,"시급10,000",02/23
경기 수원시, 대한곱창 수원호매실점,시간협의,"시급10,000",02/23
충북 청주시, 대한곱창 청주동남점,시간협의,"시급9,500",02/22
전북 전체, 대한곱창 전주신시가지점,16:00~02:30,"시급8,720",02/22
