place,title,time,pay,date
서울 강남구, 러쉬 스타필드코엑스점,13:00~22:00,"시급10,790",2시간전
경기 고양시, (주)러쉬코리아,09:00~20:30,"시급10,790",3시간전
서울 동대문, (주)러쉬코리아,13:00~20:00,"시급10,790",3시간전
서울 동대문, (주)러쉬코리아,13:00~20:00,"시급10,790",4시간전
광주 전체, (주)러쉬코리아,09:30~20:30,"시급10,790",5시간전
서울 성북구, (주)러쉬코리아,13:00~20:00,"시급10,790",6시간전
전국 전체, (주)러쉬 러쉬코리아,시간협의,"시급10,790",6시간전
서울 송파구, (주)러쉬코리아,13:00~22:00,"시급10,790",7시간전
경기 김포시, 러쉬코리아,10:00~18:00,"시급10,790",7시간전
인천 미추홀, (주)러쉬코리아  롯데인천 터미널점,10:00~17:00,"시급10,350",18시간전
서울 중구, (주)러쉬코리아,09:30~20:30,"시급10,790",19시간전
서울 영등포, (주)러쉬코리아 여의도IFC몰,10:00~22:00,"시급10,790",21시간전
경기 하남시, (주)러쉬코리아,13:00~22:00,"시급10,790",22시간전
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",02/28
경기 부천시, (주)러쉬코리아,시간협의,"시급10,790",02/27
경기 부천시, (주)러쉬코리아 롯데중동점,09:00~08:30,"시급10,790",02/26
서울 양천구, (주)러쉬코리아 현대목동점,15:00~20:00,"시급10,790",02/25
서울 종로구, (주)러쉬코리아,시간협의,"시급10,790",02/24
인천 전체, (주)러쉬코리아,10:00~21:30,"시급10,790",02/23
