place,title,time,pay,date
서울 강서구, 롯데리아 NC강서점,17:00~22:00,"시급8,720",1분전
부산 사하구, 롯데리아 부산하단점,06:00~10:30,"시급8,720",34분전
서울 광진구, 롯데리아 구의점,07:00~20:00,"시급8,720",35분전
서울 광진구, 롯데리아 구의점,07:00~20:00,"시급8,720",35분전
서울 광진구, 롯데리아 구의점,07:00~20:00,"시급8,720",36분전
서울 강서구, 롯데리아 NC강서점,17:00~22:00,"시급8,720",46분전
경기 화성시, 롯데리아 향남2신도시,시간협의,"시급8,720",46분전
경기 화성시, 롯데리아 향남2신도시,시간협의,"시급8,720",47분전
경기 화성시, 롯데리아 향남2신도시,시간협의,"월급2,200,000",47분전
경기 화성시, 롯데리아 향남2신도시,시간협의,"월급2,200,000",47분전
경기 화성시, 롯데리아 향남2신도시,시간협의,"월급2,200,000",48분전
경기 광주시, 롯데리아 광주태전점,09:00~23:00,"시급8,720",48분전
경기 수원시, 롯데리아 수원팔달점,00:00~24:00,"시급8,720",49분전
경기 수원시, 롯데리아 수원팔달점,00:00~24:00,"시급8,720",49분전
경기 수원시, 롯데리아 수원팔달점,시간협의,"월급2,200,000",49분전
경기 수원시, 롯데리아 수원팔달점,시간협의,"월급2,200,000",49분전
경기 수원시, 롯데리아 수원팔달점,시간협의,"월급2,200,000",50분전
경기 부천시, 롯데리아 부천중동점,시간협의,"월급2,000,000",54분전
경기 화성시, 롯데리아 동탄CGV점,10:00~22:00,"시급8,720",57분전
경기 파주시, 롯데리아 운정한빛점,16:00~01:00,"월급1,900,000",1시간전
전남 여수시, 롯데리아 여수웅천지구점,09:00~22:00,"시급8,720",1시간전
경기 파주시, 롯데리아 운정한빛점,16:00~01:00,"월급1,900,000",1시간전
광주 북구, 롯데리아 광주용봉점,09:00~23:00,"시급8,720",1시간전
충남 천안시, 롯데리아 천안역사,15:00~23:00,"시급8,720",1시간전
부산 해운대, 롯데리아 부산재송점,15:00~22:00,"시급8,720",1시간전
대구 달성군, 롯데리아 대구옥포,09:00~22:30,"시급8,720",1시간전
부산 연제구, 롯데리아 부산물만골역점,시간협의,"시급8,720",1시간전
인천 중구, 롯데리아 제물포점,09:00~23:00,"시급8,720",1시간전
인천 남동구, 롯데리아 제물포점,09:00~23:00,"시급8,720",1시간전
인천 서구, 롯데리아 제물포점,09:00~23:00,"시급8,720",1시간전
인천 동구, 롯데리아 제물포점,09:00~23:00,"시급8,720",1시간전
인천 미추홀, 롯데리아 제물포점,09:00~23:00,"시급8,720",1시간전
인천 미추홀, 롯데리아 인천도화점,18:00~22:00,"시급8,720",2시간전
인천 서구, 롯데리아 인천도화점,18:00~22:00,"시급8,720",2시간전
인천 남동구, 롯데리아 인천도화점,18:00~22:00,"시급8,720",2시간전
인천 동구, 롯데리아 인천도화점,18:00~22:00,"시급8,720",2시간전
인천 미추홀, 롯데리아 인천도화점,18:00~22:00,"시급8,720",2시간전
부산 사하구, 롯데리아 부산다대포점,09:00~22:00,"시급8,720",2시간전
부산 사하구, 롯데리아 신평탑마트점,09:00~22:00,"시급8,720",2시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",2시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",2시간전
경기 안성시, 롯데리아 안성중앙점,09:00~24:00,"시급8,720",2시간전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",2시간전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",2시간전
서울 동작구, 롯데리아 이수역점,09:00~21:00,"시급8,720",2시간전
서울 광진구, 롯데리아 건대역점,시간협의,"시급8,720",2시간전
서울 광진구, 롯데리아 건대역점,시간협의,"시급8,720",2시간전
서울 광진구, 롯데리아 건대역점,17:00~23:00,"시급8,720",2시간전
서울 광진구, 롯데리아 건대역점,17:00~23:00,"시급8,720",2시간전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급8,720",2시간전
