place,title,time,pay,date
서울 송파구, 롭스 잠실점,16:00~22:00,"시급8,720",6분전
전북 군산시, 롭스 군산아웃렛점,12:30~20:00,"시급8,720",11분전
서울 용산구, 롭스 이태원점,11:00~14:00,"시급8,720",44분전
서울 용산구, 롭스 이태원점,11:00~14:00,"시급8,720",45분전
부산 중구, 롭스 광복동점,12:00~15:00,"시급8,720",51분전
서울 용산구, 롭스 이태원점,11:00~14:00,"시급8,720",52분전
서울 용산구, 롭스 이태원점,11:00~14:00,"시급8,720",2시간전
대구 동구, 롭스 이시아폴리스점,13:30~17:00,"시급8,720",2시간전
대구 중구, 롭스 대구동성로점,15:30~19:00,"시급8,720",2시간전
서울 송파구, 롭스 잠실점,16:00~22:00,"시급8,720",2시간전
충남 천안시, 롯데쇼핑㈜ H&B사업본부 (롭스) 천,12:00~17:00,"시급8,720",02/28
경기 용인시, 롯데쇼핑㈜ H&B사업본부 (롭스) 롯,15:00~21:30,"시급8,720",02/28
서울 용산구, 롭스 이태원점,11:00~14:00,"시급8,720",02/28
경기 광명시, 롭스 광명아울렛점,12:00~16:30,"시급8,720",02/28
경기 수원시, 롭스 수원역사점,10:00~14:30,"시급10,308",02/28
경남 김해시, 롭스 김해아울렛,10:30~17:00,"시급8,720",02/26
충남 부여군, 롭스 부여아울렛점,10:30~15:00,"시급8,720",02/23
경기 수원시, 롭스 수원몰점,11:00~16:30,"시급8,720",02/20
