place,title,time,pay,date
서울 송파구, 마왕족발 방이점(직영),15:00~01:00,"월급2,500,000",5분전
서울 송파구, 마왕족발 방이점(직영),15:00~01:00,"월급2,500,000",6분전
경기 부천시, 마왕족발 부천점(본점직영),11:00~20:00,"월급2,290,000",4시간전
경기 부천시, 마왕족발 부천점(본점직영),11:00~20:00,"월급2,400,000",4시간전
경기 부천시, 마왕족발 부천점(본점직영),18:00~01:00,"일급74,120",4시간전
경기 부천시, 마왕족발 부천점(본점직영),시간협의,"월급2,290,000",4시간전
서울 동작구, 마왕족발 상도역점,15:00~20:30,"시급8,720",5시간전
서울 동작구, 마왕족발 상도역점,15:00~20:30,"시급8,720",5시간전
서울 동작구, 마왕족발 상도역점,15:00~20:30,"시급8,720",5시간전
울산 동구, 마왕족발 울산동구일산점,시간협의,"월급2,500,000",5시간전
울산 동구, 마왕족발 울산동구일산점,06:00~11:00,"시급8,720",5시간전
인천 미추홀, 마왕족발 인천도화점,15:00~21:00,"시급8,720",5시간전
인천 미추홀, 마왕족발 인천도화점,15:00~21:00,"시급8,720",5시간전
인천 미추홀, 마왕족발 인천도화점,15:00~21:00,"시급8,720",5시간전
경기 하남시, 마왕족발 하남미사점,17:00~24:00,"시급10,500",5시간전
경기 하남시, 마왕족발 하남미사점,17:00~24:00,"시급10,500",5시간전
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,500,000",5시간전
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,624,720",6시간전
경기 부천시, 마왕족발 부천점(본점직영),17:00~22:00,"시급10,464",8시간전
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",22시간전
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",02/28
인천 서구, 마왕족발 인천서구청점,15:00~01:00,"월급2,300,000",02/27
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,500,000",02/26
대전 서구, 마왕족발 대전둔산직영점,16:00~01:00,"월급2,300,000",02/26
경기 하남시, 마왕족발 하남미사점,17:00~24:00,"시급10,500",02/26
인천 미추홀, 마왕족발 인천도화점,15:00~21:00,"시급8,720",02/22
울산 동구, 마왕족발 울산동구일산점,06:00~11:00,"시급8,720",02/21
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,300,000",02/19
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",02/19
충남 천안시, 마왕족발 천안신부점,16:00~01:00,"월급2,500,000",02/18
경기 하남시, 마왕족발 하남미사점,15:00~24:00,"월급2,300,000",02/17
