place,title,time,pay,date
부산 해운대, 매드포갈릭 해운대점,12:30~21:30,"시급10,470",5분전
경기 의정부, (주)MFG 코리아 매드포갈릭 의정부,시간협의,"시급10,470",21분전
서울 전체, 매드포갈릭 영등포타임스퀘어점,08:30~15:30,"시급8,720",23분전
경기 수원시, 매드포갈릭 롯데시네마 수원역점,시간협의,"시급10,470",1시간전
경기 안양시, 매드포갈릭 안양범계점,12:00~09:00,"시급10,470",1시간전
경기 수원시, 매드포갈릭 수원인계점,09:30~18:30,"시급10,470",2시간전
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",2시간전
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,470",2시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",3시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",3시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",4시간전
울산 남구, 매드포갈릭 울산현대백화점,10:30~15:00,"시급8,720",4시간전
경기 부천시, 매드포갈릭 부천중동현대점,18:00~21:00,"시급10,470",4시간전
서울 전체, 매드포갈릭 영등포타임스퀘어점,08:30~15:30,"시급8,720",4시간전
경기 안성시, 매드포갈릭 안성스타필드점,13:00~22:00,"시급10,470",4시간전
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",4시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",5시간전
서울 서초구, 매드포갈릭 삼성타운점,12:00~20:30,"시급10,470",5시간전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",5시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",5시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",5시간전
경기 의정부, (주)MFG 코리아 매드포갈릭 의정부,시간협의,"시급10,470",6시간전
울산 남구, 매드포갈릭 울산현대백화점,18:00~21:30,"시급8,720",6시간전
경기 부천시, 매드포갈릭 부천중동현대점,18:00~22:00,"시급10,470",7시간전
경기 안성시, 매드포갈릭 안성스타필드점,09:30~22:00,"시급10,470",7시간전
부산 해운대, 매드포갈릭 해운대점,12:30~21:30,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",7시간전
경남 창원시, 매드포갈릭 창원점,18:00~21:30,"시급10,470",8시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",8시간전
대전 서구, 매드포갈릭 대전둔산점,06:00~21:00,"시급10,410",8시간전
서울 용산구, 엠에프지코리아 매드포갈릭용산아이파크몰,15:30~21:00,"시급10,470",18시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",21시간전
서울 마포구, 매드포갈릭 합정점,12:00~21:00,"시급10,470",22시간전
부산 해운대, 매드포갈릭 해운대점,14:00~21:00,"시급10,310",02/28
서울 마포구, 매드포갈릭 상암MBC점,12:00~21:00,"시급10,470",02/28
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",02/27
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",02/27
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,470",02/27
서울 마포구, 매드포갈릭 합정점,12:00~21:00,"시급10,470",02/27
부산 해운대, 매드포갈릭 해운대점,14:00~21:00,"시급10,310",02/27
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",02/27
경기 수원시, 매드포갈릭 수원롯데점,시간협의,"시급10,470",02/26
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,310",02/26
경남 창원시, 매드포갈릭 창원점,18:00~21:30,"시급10,470",02/26
서울 마포구, 매드포갈릭 합정점,12:00~21:00,"시급10,310",02/26
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",02/26
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",02/25
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",02/25
