place,title,time,pay,date
서울 강남구, 매머드커피 선정릉,12:30~14:30,"시급9,500",38분전
경기 부천시, 매머드커피 신중동역,14:00~19:00,"시급8,720",1시간전
경기 성남시, 매머드커피 판교,12:30~16:30,"시급10,500",2시간전
서울 강남구, 매머드커피 선정릉,11:00~15:00,"시급10,500",2시간전
경기 성남시, 매머드커피 판교,12:30~16:30,"시급10,500",3시간전
서울 영등포, 매머드커피 여의도증권가,12:00~19:00,"시급10,464",3시간전
서울 성동구, 매머드커피 서울숲,12:00~22:00,"시급10,000",3시간전
서울 성동구, 매머드커피 서울숲,12:00~22:00,"시급10,000",3시간전
경기 성남시, 매머드커피 판교,12:30~16:30,"시급10,500",4시간전
서울 서초구, 매머드커피 양재시민의 숲,09:30~18:00,"시급10,464",5시간전
경기 성남시, 매머드커피 판교,12:30~16:30,"시급10,500",6시간전
서울 마포구, 매머드커피 상암 DDMC,17:30~20:00,"시급8,720",7시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,12:00~19:00,"시급10,700",7시간전
경기 성남시, 매머드커피 정자역,17:00~21:00,"시급8,720",8시간전
경기 성남시, 매머드커피 판교,12:30~16:30,"시급10,500",8시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,12:00~05:30,"시급10,464",17시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,12:00~19:00,"시급10,700",17시간전
서울 서초구, 매머드커피 양재시민의 숲,12:00~18:00,"시급8,720",18시간전
경기 성남시, 매머드커피 판교제2테크노벨리점,12:00~19:00,"시급10,700",19시간전
경기 성남시, 매머드커피 정자역,17:00~21:00,"시급8,720",20시간전
서울 종로구, 매머드커피 종로5가,07:00~14:00,"시급8,720",02/26
서울 종로구, 매머드커피 효제동,07:00~14:00,"시급8,720",02/26
서울 영등포, 매머드커피 여의도S점,15:00~19:00,"시급10,464",02/25
서울 강남구, 매머드커피 선정릉,11:00~15:00,"시급10,500",02/21
경기 성남시, 매머드커피 수내,09:30~14:00,"시급8,720",02/15
