place,title,time,pay,date
부산 북구, 부릉 부산북구구포지점,10:00~03:00,"일급100,000",4분전
부산 북구, 부릉 부산북구구포지점,10:00~03:00,"일급100,000",4분전
부산 북구, 부릉 부산북구구포지점,10:00~03:00,"일급100,000",4분전
부산 연제구, 부릉 부산거제지점,10:00~02:00,"건별3,000",16분전
부산 연제구, 부릉 부산거제지점,10:00~02:00,"건별3,000",17분전
부산 동래구, 부릉 부산거제지점,10:00~02:00,"건별3,000",17분전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",18분전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",18분전
부산 동래구, 부릉 부산동래사직지점,11:00~02:00,"건별3,000",19분전
울산 동구, 부릉 울산일산지점,시간협의,"일급150,000",23분전
울산 동구, 부릉 울산일산지점,시간협의,"일급150,000",23분전
울산 동구, 부릉 울산일산지점,시간협의,"일급150,000",23분전
경기 수원시, 부릉 수원원천지점,07:00~03:00,"건별3,000",25분전
경남 진주시, 부릉 진주가좌지점,10:00~02:00,"일급150,000",36분전
경북 경산시, 경산정평지점,11:00~02:00,"일급200,000",37분전
경기 평택시, 부릉 평택용이지점,09:00~02:00,"건별3,500",41분전
부산 동래구, 부릉 부산안락지점,09:00~02:00,"건별3,000",49분전
울산 남구, 부릉 울산신정지점,08:00~03:00,"건별3,000",1시간전
서울 마포구, 부릉 마포도화지점,09:00~01:00,"건별3,000",1시간전
서울 마포구, 부릉 마포도화지점,09:00~01:00,"건별3,000",1시간전
서울 마포구, 부릉 마포도화지점,09:00~01:00,"건별3,000",1시간전
부산 기장군, 부릉 부산기장정관지점,08:30~02:00,"건별3,000",2시간전
부산 기장군, 부릉 부산기장정관지점,08:30~02:00,"건별3,000",2시간전
부산 기장군, 부릉 부산기장정관지점,08:30~02:00,"건별3,000",2시간전
충북 청주시, 부릉 청주서원지점,09:00~03:00,"건별3,000",2시간전
서울 전체, 부릉 강남청담1지점,00:00~24:00,"건별3,000",2시간전
서울 전체, 부릉 강남청담1지점,00:00~24:00,"건별3,000",2시간전
서울 전체, 부릉 강남청담1지점,00:00~24:00,"건별3,000",2시간전
경기 성남시, 부릉 성남태평지점,10:00~03:00,"월급5,000,000",2시간전
인천 전체, 부릉 인천남동구월지점,09:00~02:00,"일급200,000",2시간전
대구 전체, 부릉 대구시지지점,시간협의,"건별3,100",2시간전
충북 청주시, 부릉 청주오창지점,06:30~03:00,"건별3,000",2시간전
대구 전체, 부릉 대구시지지점,시간협의,"건별3,100",2시간전
경기 성남시, 부릉 성남태평지점,10:00~03:00,"월급5,000,000",2시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",2시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",2시간전
부산 부산진, 부릉 부산개금지점,10:00~01:00,"건별3,000",2시간전
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,000,000",3시간전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"건별3,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"일급150,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"건별3,000",3시간전
부산 해운대, 부릉 부산해운대우동지점,10:00~02:00,"건별3,000",3시간전
경남 진주시, 부릉 진주가좌지점,10:00~02:00,"일급150,000",3시간전
부산 북구, 부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
부산 북구, 부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
부산 사상구, 부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
서울 마포구, 부릉 마포망원지점,11:00~02:00,"일급200,000",4시간전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",4시간전
경남 양산시, 부릉 양산웅상지점,10:00~24:00,"건별3,000",4시간전
서울 동대문, 부릉 동대문장안지점,00:00~24:00,"건별3,000",4시간전
