place,title,time,pay,date
경기 하남시, 더본코리아 미정국수0410 미사강변점,12:00~22:30,"월급1,300,000",5분전
경기 성남시, 홍콩반점0410 모란시장점,12:00~15:00,"시급8,720",5분전
경기 고양시, 더본코리아 홍콩반점0410 일산후곡점,10:00~22:00,"월급2,550,000",5분전
경기 고양시, 더본코리아 홍콩반점0410 일산후곡점,10:00~22:00,"월급2,550,000",6분전
경기 시흥시, 홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,100,000",8분전
부산 동래구, 더본코리아 백스비어 동래역점,20:00~03:00,"월급1,800,000",8분전
대전 서구, 미정국수0410 대전둔산점,22:00~10:00,"월급980,000",9분전
부산 동래구, 더본코리아 백스비어 동래역점,19:00~03:00,"월급2,100,000",10분전
부산 서구, 홍콩반점0410 부산동대신점,11:00~21:30,"월급2,500,000",10분전
대전 동구, 더본코리아 역전우동0410 대전가오점,10:00~17:00,"시급8,720",10분전
전북 전주시, 롤링파스타 전주객사점,10:00~21:30,"월급2,300,000",10분전
경기 용인시, 한신포차 용인역북점,17:00~03:00,"시급10,700",11분전
경기 수원시, 인생설렁탕 수원인계점,10:00~22:00,"월급2,300,000",14분전
부산 동구, 더본코리아 홍콩반점0410 부산역점,09:30~21:30,"월급2,400,000",14분전
서울 전체, 더본코리아 홍콩반점0410 보라매공원,09:00~21:00,"월급2,900,000",14분전
경기 수원시, 인생설렁탕 수원인계점,10:00~22:00,"월급2,700,000",15분전
인천 연수구, 더본코리아 홍콩반점0410 인천송도점,시간협의,"월급2,000,000",15분전
대전 동구, 더본코리아 역전우동0410 대전역점,11:00~14:00,"시급10,000",17분전
경기 수원시, 인생설렁탕 수원인계점,10:00~22:00,"월급2,300,000",18분전
부산 중구, 롤링파스타 부산남포점,11:00~21:30,"시급9,000",19분전
서울 성북구, 더본코리아 돌배기집 파주운정산내점,10:00~22:00,"월급2,500,000",21분전
서울 강서구, 더본코리아 한신포차 마곡나루역점,17:00~05:00,"월급2,600,000",22분전
서울 강서구, 더본코리아 한신포차 마곡나루역점,17:00~05:00,"월급2,600,000",22분전
서울 강서구, 더본코리아 한신포차 마곡나루역점,17:00~05:00,"월급2,600,000",23분전
경기 김포시, 롤링파스타 김포구래점,10:30~22:30,"월급2,700,000",26분전
서울 마포구, 더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",28분전
경기 김포시, 더본코리아 역전우동0410 김포장기역,10:00~22:00,"월급1,900,000",30분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급2,200,000",30분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급8,800",31분전
경기 용인시, 한신포차 용인역북점,20:00~04:00,"시급10,500",31분전
경기 김포시, 더본코리아 역전우동0410 김포장기역,10:00~22:00,"월급1,900,000",31분전
경기 수원시, 더본코리아 리춘시장 수원역점,18:00~23:00,"시급9,000",32분전
충북 청주시, 더본코리아 새마을식당 청주용암점,18:00~23:00,"시급8,720",33분전
울산 동구, 더본코리아 홍콩반점0410 울산일산점,10:00~22:00,"월급2,450,000",34분전
부산 영도구, 더본코리아 홍콩반점0410 부산영도대,18:00~21:30,"시급8,720",34분전
경기 안산시, 더본코리아 롤링파스타 안산중앙점,시간협의,"월급2,650,000",35분전
경기 안산시, 더본코리아 롤링파스타 안산중앙점,시간협의,"월급2,650,000",36분전
강원 원주시, 롤링파스타 원주단계점,10:00~22:00,"월급2,450,000",36분전
전남 순천시, 홍콩반점0410 순천연향점,시간협의,"시급8,590",41분전
전남 순천시, 홍콩반점0410 순천연향점,10:00~22:00,"월급1,650,000",41분전
광주 서구, 롤링파스타 광주유스퀘어점,11:00~15:30,"시급8,720",43분전
부산 부산진, 더본코리아 홍콩반점0410 서면점,10:30~21:30,"월급1,850,000",46분전
서울 강서구, 홍콩반점0410 화곡역점,09:30~21:30,"월급2,800,000",46분전
서울 강서구, 홍콩반점0410 화곡역점,09:30~21:30,"월급2,800,000",46분전
서울 강서구, 홍콩반점0410 화곡역점,09:30~21:30,"월급2,800,000",46분전
서울 강서구, 홍콩반점0410 화곡역점,09:30~21:30,"월급2,800,000",46분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급8,800",46분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급2,200,000",47분전
전남 순천시, 롤링파스타 순천연향점,17:30~22:00,"시급8,720",47분전
광주 서구, 롤링파스타 광주유스퀘어점,10:00~22:00,"월급2,600,000",48분전
