place,title,time,pay,date
인천 남동구, 인천구월점,시간협의,"시급8,720",4분전
인천 남동구, 인천구월점,시간협의,"시급8,720",4분전
울산 동구, 울산동구오일뱅크점,10:00~23:00,"시급8,720",5분전
울산 동구, 울산동구오일뱅크점,10:00~23:00,"시급8,720",5분전
울산 동구, 울산동구오일뱅크점,10:00~23:00,"시급8,720",5분전
울산 동구, 울산동구오일뱅크점,10:00~23:00,"시급8,720",5분전
울산 동구, 울산동구오일뱅크점,10:00~23:00,"시급8,720",6분전
경기 부천시, 부천중동점,15:00~20:00,"시급8,720",6분전
경북 영주시, 버거킹 경북영주가흥점(S),09:00~22:30,"시급8,720",7분전
서울 전체, 버거킹 종로점,16:00~24:00,"시급8,720",9분전
경기 용인시, 버거킹 수지GS점,11:00~17:30,"시급8,720",15분전
경기 광명시, 버거킹 광명소하마트,12:00~17:00,"시급8,720",23분전
충북 청주시, 버거킹 청주오송점(S),10:00~23:00,"시급8,720",28분전
경기 파주시, 버거킹 파주야당역점,시간협의,"시급8,720",29분전
경기 파주시, 버거킹 파주야당역점,시간협의,"시급8,720",29분전
서울 강남구, 버거킹 선릉역점,시간협의,"시급8,720",29분전
경북 안동시, 버거킹 경북도청점(S),09:00~23:00,"시급8,720",30분전
경북 예천군, 버거킹 경북도청점(S),09:00~23:00,"시급8,720",30분전
서울 종로구, 버거킹 종로구청점,17:00~24:00,"시급8,720",31분전
경기 수원시, 버거킹 수원호매실SK점,17:00~01:00,"시급8,720",31분전
충남 서산시, 버거킹 서산호수공원점(S),09:00~15:00,"시급8,720",32분전
충남 서산시, 버거킹 서산호수공원점(S),08:30~23:00,"시급8,720",33분전
서울 중구, 버거킹 회현역점,00:00~24:00,"시급8,720",35분전
대구 중구, 경대병원역DT점,20:00~02:00,"시급8,720",36분전
서울 강남구, 버거킹 선릉역점,시간협의,"시급8,720",38분전
서울 강남구, 버거킹 선릉역점,시간협의,"시급8,720",41분전
대구 달서구, 버거킹 상인SK점,시간협의,"시급8,720",41분전
경기 오산시, 버거킹 오산세교에스오일점,00:00~24:00,"시급8,720",42분전
경기 김포시, 버거킹 김포한강GS점,시간협의,"시급8,720",44분전
강원 속초시, 속초DT점,00:00~24:00,"시급8,720",44분전
서울 서초구, 버거킹 방배카페골목,17:00~22:30,"시급8,720",46분전
대구 달성군, 대구테크노폴리스점,14:00~23:00,"연봉23,000,000",50분전
광주 전체, 버거킹 광주주월에스오일점,시간협의,"시급8,720",53분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,720",54분전
서울 송파구, 버거킹 몽촌토성점,시간협의,"시급8,720",54분전
서울 강남구, 버거킹 대치점,01:00~00:00,"시급8,720",55분전
경기 성남시, 버거킹 분당서현점,시간협의,"시급8,720",57분전
서울 전체, 버거킹 충무로역점,16:00~23:00,"시급8,720",57분전
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,720",1시간전
서울 전체, 버거킹 종로점,16:00~24:00,"시급8,720",1시간전
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,720",1시간전
전남 순천시, 버거킹 순천법원점,17:00~20:30,"시급8,720",1시간전
전남 순천시, 버거킹 순천법원점,17:00~23:00,"시급8,720",1시간전
경남 김해시, 버거킹 김해내외점,시간협의,"시급8,720",1시간전
전북 정읍시, 버거킹 정읍중앙점(S),08:00~17:00,"월급2,100,000",1시간전
경기 수원시, 버거킹 송죽SK점,시간협의,"시급8,720",1시간전
경기 용인시, 버거킹 수지GS점,11:00~17:30,"시급8,720",1시간전
경북 구미시, 버거킹 구미도량DT점,09:00~16:00,"시급8,720",1시간전
경북 구미시, 버거킹 구미도량DT점,18:00~00:30,"시급8,720",1시간전
서울 송파구, 버거킹 종합운동장사거리점,08:00~01:00,"시급8,720",1시간전
