place,title,time,pay,date
서울 서초구, (주)캘리스코 사보텐신논현점,17:30~22:00,"시급8,720",3시간전
경기 의정부, 사보텐 신세계의정부점,시간협의,"시급8,720",4시간전
경기 여주시, (주)캘리스코 히바린,12:00~21:00,"월급2,000,000",4시간전
서울 강남구, (주)캘리스코,11:30~15:00,"시급8,720",5시간전
경남 창원시, 사보텐 신세계마산점,17:00~21:00,"시급8,720",5시간전
경남 창원시, 사보텐 신세계마산점,12:00~17:00,"시급8,720",5시간전
서울 강남구, 사보텐 아워홈빌딩점,17:30~22:00,"시급8,720",5시간전
서울 성북구, (주)캘리스코 현대미아점,16:30~22:00,"시급8,720",6시간전
광주 서구, 사보텐 신세계광주점,12:00~20:30,"시급8,720",6시간전
부산 전체, 히바린 롯데부산본점,시간협의,"시급8,720",7시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,13:00~21:00,"시급8,720",15시간전
서울 용산구, 히바린 이태원점,17:00~22:00,"시급8,720",19시간전
서울 영등포, 사보텐 경방타임스퀘어점,17:00~22:00,"시급8,720",22시간전
충북 청주시, 주식회사 캘리스코 사보텐 청주 터미널,시간협의,"시급8,720",22시간전
경기 의정부, 사보텐 신세계의정부점,시간협의,"시급8,720",02/28
서울 강남구, 사보텐 아워홈빌딩점,17:30~22:00,"시급8,720",02/27
경기 여주시, (주)캘리스코 히바린 여주첼시점,13:00~21:00,"시급8,720",02/27
경기 여주시, (주)캘리스코 히바린,12:00~21:00,"월급2,000,000",02/26
서울 송파구, 사보텐 롯데월드점,12:00~21:00,"시급8,720",02/26
서울 동대문, 사보텐 청량리역사점,10:30~16:00,"시급8,720",02/25
서울 동대문, 사보텐 청량리역사점,12:00~17:00,"시급8,720",02/25
서울 동대문, 사보텐 청량리역사점,17:30~22:00,"시급8,720",02/25
경남 창원시, 사보텐 창원시티세븐점,12:00~16:00,"시급8,720",02/24
서울 서초구, (주)캘리스코,10:00~22:00,"시급8,720",02/23
경남 창원시, 사보텐 창원시티세븐점,12:00~16:00,"시급8,720",02/21
