place,title,time,pay,date
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급1,000,000",1시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급900,000",1시간전
대구 달성군, 성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급900,000",1시간전
대구 남구, 성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급1,000,000",1시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"월급900,000",1시간전
서울 마포구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",2시간전
서울 서대문, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,500,000",2시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 마포구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",2시간전
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,200,000",2시간전
서울 서초구, 성원아이북랜드 성원아이북랜드 본사,16:00~22:00,"월급1,000,000",3시간전
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",4시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",4시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",4시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",4시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",4시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",5시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",5시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",5시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",5시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",5시간전
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",5시간전
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",5시간전
서울 양천구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",5시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",5시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",5시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",5시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",5시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",5시간전
서울 금천구, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
서울 구로구, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
경기 광명시, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",6시간전
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",6시간전
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",6시간전
경남 창원시, 성원아이북랜드 창원늘찬영업본부,14:00~18:00,"건별40,000",7시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",21시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",21시간전
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",21시간전
경기 안산시, 성원아이북랜드 안산영업본부,13:00~18:30,"시급15,000",02/28
경기 수원시, 성원아이북랜드 수원영업본부,시간협의,"건별600,000",02/28
경기 수원시, 성원아이북랜드 수원영업본부,시간협의,"건별600,000",02/28
경기 수원시, 성원아이북랜드 수원영업본부,시간협의,"건별600,000",02/28
경기 수원시, 성원아이북랜드 수원영업본부,시간협의,"건별600,000",02/28
경기 수원시, 성원아이북랜드 수원영업본부,시간협의,"건별600,000",02/28
