place,title,time,pay,date
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,133,360",2시간전
경기 고양시, (주)에스엠케이티앤아이,13:00~20:00,"시급8,720",3시간전
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,133,360",7시간전
서울 강서구, 슈마커 NC강서점,14:00~19:00,"시급9,000",8시간전
서울 금천구, 슈마커 구로W몰점,시간협의,"월급2,133,360",02/27
서울 금천구, (주)에스엠케이티앤아이,10:30~21:30,"월급2,133,360",02/25
서울 금천구, (주)에스엠케이티앤아이,10:30~21:30,"월급2,133,360",02/23
서울 금천구, (주)에스엠케이티앤아이,10:30~21:30,"월급2,133,360",02/22
서울 서초구, (주)에스엠케이티앤아이 강남점,11:00~21:00,"월급2,133,360",02/20
서울 서초구, (주)에스엠케이티앤아이 강남점,11:00~21:00,"월급2,133,360",02/20
서울 금천구, (주)에스엠케이티앤아이,10:30~21:30,"월급2,133,360",02/19
서울 금천구, (주)에스엠케이티앤아이,10:30~21:30,"월급2,133,360",02/19
서울 서초구, (주)에스엠케이티앤아이 강남점,11:00~21:00,"월급2,133,360",02/15
