place,title,time,pay,date
전북 익산시, 익산모현,07:00~24:00,"시급9,000",4분전
경기 용인시, 스타벅스커피 코리아 용인보정DT,07:00~23:00,"시급9,000",8분전
경기 화성시, 스타벅스커피 코리아 화성시청,시간협의,"시급9,000",15분전
광주 남구, 스타벅스커피 코리아 광주봉선점,06:30~23:00,"시급9,000",20분전
경기 광명시, 스타벅스커피 코리아 광명하안점,06:30~24:00,"시급9,000",21분전
세종 전체, 스타벅스커피 코리아 세종보람,07:00~23:00,"시급9,000",21분전
제주 전체, 스타벅스커피 코리아 성산일출봉점,07:30~18:30,"시급9,000",27분전
충남 논산시, 스타벅스커피 코리아 논산중앙점,07:30~24:00,"시급9,000",38분전
서울 전체, 스타벅스커피 코리아 강남에비뉴점,06:30~21:30,"시급9,000",58분전
충북 증평군, 스타벅스커피 코리아 충북증평점,08:00~23:00,"시급9,000",1시간전
전북 익산시, 익산모현,07:00~24:00,"시급9,000",1시간전
경기 용인시, 스타벅스커피 코리아 용인언남,06:30~21:30,"시급9,000",1시간전
울산 울주군, 스타벅스커피 코리아 울산간절곶점,08:30~22:00,"시급9,000",2시간전
제주 전체, 제주협재,08:30~21:00,"시급9,000",2시간전
전북 익산시, 스타벅스커피 코리아 익산영등DT,07:00~24:00,"시급9,000",2시간전
세종 전체, 스타벅스커피 코리아 세종보람,07:00~23:00,"시급9,000",2시간전
대전 동구, 스타벅스커피 코리아 대전터미널DT,06:30~23:00,"시급9,000",2시간전
충북 증평군, 스타벅스커피 코리아 충북증평점,08:00~23:00,"시급9,000",2시간전
서울 전체, 스타벅스커피 코리아 강남에비뉴점,06:30~21:30,"시급9,000",2시간전
경기 안양시, 스타벅스커피 코리아 평촌역DT,07:00~23:00,"시급9,000",2시간전
충북 청주시, 청주오송,06:30~24:00,"시급9,000",2시간전
서울 서초구, 스타벅스커피 코리아 파미에파크점,06:30~23:00,"시급9,000",2시간전
세종 전체, 스타벅스커피 코리아 세종보람,07:00~23:00,"시급9,000",2시간전
경남 진주시, 스타벅스커피 코리아 진주칠암DT점,06:30~23:30,"시급9,000",3시간전
서울 양천구, 스타벅스커피 코리아 목동7단지점,06:30~22:00,"시급9,000",3시간전
충남 서산시, 스타벅스커피 코리아 서산호수점,07:00~23:00,"시급9,000",3시간전
경기 용인시, 스타벅스커피 코리아 용인동백DT점,05:30~24:00,"시급9,000",3시간전
경남 밀양시, 스타벅스커피 코리아 밀양DT,06:00~24:00,"시급9,000",3시간전
제주 제주시, 제주외도DT,07:00~23:00,"시급9,000",3시간전
광주 서구, 스타벅스커피 코리아 광주금호DT점,시간협의,"시급9,000",3시간전
경기 성남시, 스타벅스커피 코리아 정자아데나점,06:30~22:30,"시급9,000",3시간전
서울 구로구, 스타벅스커피 코리아 구로NC,08:00~23:00,"시급9,000",3시간전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛,09:00~22:00,"시급9,000",3시간전
전남 광양시, 스타벅스커피 코리아 전남광양DT,06:30~23:00,"시급9,000",4시간전
제주 전체, 제주협재,08:30~21:00,"시급9,000",4시간전
경북 포항시, 스타벅스커피 코리아 포항대이점,08:30~21:30,"시급9,000",4시간전
광주 동구, 스타벅스커피 코리아 충장일가점,08:00~23:00,"시급9,000",4시간전
제주 전체, 스타벅스커피 코리아 제주송악산점,08:30~18:00,"시급9,000",4시간전
서울 강남구, 스타벅스커피 코리아 스타필드코엑스몰,06:30~23:00,"시급9,000",4시간전
경기 평택시, 스타벅스커피 코리아 평택죽백DT,07:00~24:00,"시급9,000",4시간전
충북 전체, 스타벅스커피 코리아 오창호수공원,07:30~23:00,"시급9,000",4시간전
대전 전체, 스타벅스커피 코리아 대전테크노밸리점,06:30~22:00,"시급9,000",5시간전
경기 이천시, 스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급9,000",5시간전
대전 유성구, 스타벅스커피 코리아 대전지족점,06:00~23:00,"시급9,000",5시간전
충북 증평군, 스타벅스커피 코리아 충북증평점,08:00~23:00,"시급9,000",5시간전
충남 천안시, 스타벅스커피 코리아 천안청당,07:30~23:00,"시급9,000",5시간전
경기 이천시, 스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급9,000",5시간전
경남 창원시, 스타벅스커피 코리아 신세계마산점,시간협의,"시급9,000",5시간전
경남 창원시, 스타벅스커피 코리아 신세계마산점,시간협의,"시급9,000",5시간전
경남 진주시, 스타벅스커피 코리아 진주중안점,시간협의,"시급9,000",5시간전
