place,title,time,pay,date
경기 김포시, 노브랜드버거 김포장기점,18:00~22:00,"시급8,900",16분전
경기 고양시, 노브랜드버거 원마운트점,시간협의,"시급8,900",16분전
서울 광진구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",30분전
서울 금천구, 노브랜드버거 시흥사거리점,시간협의,"시급8,900",30분전
서울 전체, 노브랜드버거 코엑스점,17:00~22:30,"시급8,900",44분전
서울 성동구, 보노보노 스시 성수점,11:00~21:30,"월급2,050,000",1시간전
서울 성동구, 보노보노 스시 성수점,11:00~21:30,"월급2,050,000",1시간전
서울 전체, (주)신세계푸드 노브랜드 버거 목동역,시간협의,"시급8,900",1시간전
서울 관악구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",2시간전
서울 동작구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",2시간전
서울 강남구, 노브랜드버거 양재역점,11:00~23:00,"시급8,900",2시간전
서울 금천구, 노브랜드버거 시흥사거리점,시간협의,"시급8,900",2시간전
서울 은평구, 노브랜드버거 연신내점,16:00~20:30,"시급8,900",2시간전
서울 금천구, 노브랜드버거 시흥사거리점,시간협의,"시급8,900",2시간전
서울 광진구, 노브랜드버거 건대입구점,시간협의,"시급8,900",2시간전
서울 전체, 보노보노 플러스 삼성점,08:00~17:00,"월급2,000,130",2시간전
서울 전체, 보노보노 플러스 삼성점,11:00~20:00,"월급2,000,130",2시간전
서울 광진구, 보노보노 스시 성수점,11:00~21:30,"월급2,050,000",2시간전
서울 강남구, 노브랜드버거 양재역점,11:00~23:00,"시급8,900",2시간전
서울 서대문, 보노보노 스시 성수점,11:00~21:30,"월급2,100,000",3시간전
서울 은평구, 노브랜드버거 연신내점,17:30~23:00,"시급8,900",3시간전
서울 중구, 신세계푸드 노브랜드버거 서울시청점,16:30~22:30,"시급8,900",3시간전
서울 강동구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",3시간전
서울 송파구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",3시간전
서울 관악구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",3시간전
서울 광진구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",3시간전
서울 강남구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",3시간전
서울 전체, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",3시간전
서울 광진구, 보노보노 스시 성수점,11:00~21:30,"월급2,050,000",3시간전
서울 강남구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",21시간전
서울 전체, 보노보노 플러스 삼성점,13:00~22:00,"월급2,000,130",22시간전
서울 성북구, 노브랜드버거고려대점,17:00~22:30,"시급8,900",22시간전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,13:30~22:30,"시급8,900",02/28
서울 금천구, 신세계푸드 NBB 가산디지털단지점,10:00~15:30,"시급8,900",02/27
서울 금천구, 신세계푸드 NBB 가산디지털단지점,10:00~19:00,"시급8,900",02/21
서울 금천구, 신세계푸드 NBB 가산디지털단지점,18:00~21:00,"시급8,900",02/20
서울 금천구, 신세계푸드 NBB 가산디지털단지점,11:00~14:00,"시급8,900",02/20
