place,title,time,pay,date
서울 용산구, 써브웨이 한남점,17:00~22:00,"시급8,720",1분전
서울 용산구, 써브웨이 용산 아스테리움점,15:00~21:30,"시급8,720",2분전
서울 금천구, 써브웨이 가산디지털단지점,17:30~23:00,"시급8,720",23분전
서울 용산구, 서브웨이 남영역점,16:00~22:30,"시급8,720",27분전
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,16:30~23:00,"시급8,750",55분전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,07:30~16:00,"연봉24,000,000",58분전
경기 부천시, 써브웨이(SUBWAY) 부천역곡역점,07:30~16:00,"연봉24,000,000",1시간전
경기 성남시, 써브웨이 판교브릿지타워,18:00~22:00,"시급8,720",1시간전
경남 거제시, 써브웨이 거제고현점,시간협의,"시급8,720",1시간전
대구 달서구, 써브웨이 대구계대동문점,19:00~23:30,"시급8,720",1시간전
부산 연제구, 써브웨이 연산점,08:30~13:00,"시급8,720",1시간전
울산 남구, 서브웨이울산삼산점,16:30~21:30,"시급8,720",2시간전
서울 용산구, 써브웨이 용산 아스테리움점,15:00~21:30,"시급8,720",2시간전
울산 남구, 서브웨이울산삼산점,08:30~14:00,"시급8,720",2시간전
경남 창원시, Subway,16:30~21:30,"시급8,720",2시간전
경기 수원시, 써브웨이성균관대점,10:00~15:00,"시급8,720",2시간전
서울 은평구, 써브웨이 구산역점,15:00~22:30,"시급8,720",3시간전
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,09:00~15:00,"시급8,750",3시간전
경기 성남시, 써브웨이 분당정자,16:00~22:30,"시급10,500",3시간전
대구 북구, 써브웨이 대구 침산점,07:30~16:30,"월급2,000,000",3시간전
대구 중구, 써브웨이 대구동성로(2호),12:00~16:00,"시급8,720",3시간전
서울 서대문, 써브웨이순화동라마다점,09:00~15:00,"시급8,800",3시간전
경남 진주시, 써브웨이진주혁신점,10:00~15:00,"시급8,720",3시간전
서울 강남구, 써브웨이 봉은사역점,00:00~24:00,"시급8,720",3시간전
대구 중구, 써브웨이 대구동성로(2호),시간협의,"시급8,720",3시간전
울산 남구, 써브웨이 울산 달동점,14:00~18:00,"시급8,720",3시간전
울산 중구, 써브웨이 성남점,14:00~18:00,"시급8,720",3시간전
대구 중구, 써브웨이 대구동성로(2호),12:00~16:00,"시급8,720",3시간전
경기 부천시, 써브웨이(SUBWAY)부천옥길점,11:00~17:00,"시급8,750",3시간전
인천 부평구, 써브웨이 부평중앙점,16:00~23:30,"시급10,464",3시간전
서울 관악구, 써브웨이 서울대점,10:00~16:30,"시급8,720",3시간전
서울 전체, 써브웨이 써브웨이 정동점,시간협의,"시급8,720",4시간전
서울 용산구, 서브웨이 남영역점,16:00~22:30,"시급8,720",4시간전
서울 마포구, 써브웨이 홍대점,09:00~16:00,"시급10,464",4시간전
부산 기장군, 써브웨이 정관점,16:00~20:00,"시급8,750",4시간전
부산 기장군, 써브웨이 정관점,11:00~16:00,"시급8,720",4시간전
울산 남구, 써브웨이 울산 옥동점,17:00~22:00,"시급8,720",4시간전
부산 부산진, 써브웨이 동천로점,08:00~14:00,"시급8,720",4시간전
서울 성동구, 써브웨이 성수역점,12:00~17:00,"시급8,720",4시간전
경기 성남시, 써브웨이 분당정자,11:00~14:30,"시급8,800",4시간전
경기 평택시, 써브웨이 평택로데오점,시간협의,"시급8,720",4시간전
서울 용산구, 써브웨이 한남점,17:00~22:00,"시급8,720",5시간전
대구 전체, 써브웨이 써브웨이 대구광장점,시간협의,"연봉26,000,000",5시간전
인천 부평구, 써브웨이 부평중앙점,16:00~23:30,"시급10,464",5시간전
경남 창원시, Subway,12:00~15:00,"시급8,720",5시간전
경남 진주시, 써브웨이진주혁신점,10:00~15:00,"시급8,720",5시간전
서울 영등포, 써브웨이 문래,16:00~23:00,"시급8,720",5시간전
서울 영등포, 써브웨이 문래,16:00~23:00,"시급8,720",5시간전
서울 마포구, 써브웨이 홍대점,09:00~16:00,"시급10,464",5시간전
서울 마포구, 써브웨이 홍대점,09:00~16:00,"시급10,464",5시간전
