place,title,time,pay,date
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",2시간전
광주 동구, 얼맥당 광주구시청점,19:30~00:00,"시급9,000",3시간전
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",4시간전
서울 영등포, 얼맥당 문래점,14:30~00:30,"월급2,600,000",8시간전
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",02/27
서울 마포구, 얼맥당 합정점,18:00~22:00,"시급10,464",02/23
서울 마포구, 얼맥당 홍대카페거리점,18:00~21:00,"시급8,720",02/23
서울 마포구, 얼맥당 홍대카페거리점,19:00~22:00,"시급8,720",02/23
서울 마포구, 얼맥당 홍대카페거리점,19:00~22:00,"시급8,720",02/23
서울 마포구, 얼맥당 상암점,17:00~22:00,"시급9,000",02/23
서울 마포구, 얼맥당 상암점,17:00~22:00,"시급9,000",02/23
서울 마포구, 얼맥당 상암점,17:00~22:00,"시급9,000",02/23
서울 마포구, 얼맥당 상암점,17:00~22:00,"시급9,000",02/23
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",02/23
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",02/23
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",02/23
서울 마포구, 얼맥당 홍대카페거리점,19:00~22:00,"시급8,720",02/20
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",02/20
