place,title,time,pay,date
광주 동구, 제일패션리테일(주),13:00~22:00,"시급10,470",3시간전
제주 제주시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
대구 중구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
경기 성남시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
서울 영등포, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
인천 연수구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
서울 중구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3시간전
대전 유성구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",4시간전
대전 동구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",5시간전
인천 연수구, 제일패션리테일(주),13:30~22:30,"시급10,470",02/27
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉26,502,000",02/23
경기 고양시, 에잇세컨즈 현대백화점 킨텍스점,시간협의,"시급10,470",02/22
경기 성남시, 제일패션리테일(주),12:00~21:00,"시급10,310",02/20
