place,title,time,pay,date
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",6분전
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",7분전
대구 북구, 엔제리너스 대구칠성시장역점,00:00~24:00,"시급8,720",1시간전
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급8,720",2시간전
대구 북구, 엔제리너스 칠곡구암역점,24:00~08:00,"월급2,080,000",2시간전
서울 송파구, 엔제리너스 잠실롯데월드몰B1점,17:00~23:00,"시급8,720",3시간전
전북 익산시, 엔제리너스 익산고봉로점,12:00~15:00,"시급8,720",17시간전
충남 천안시, 엔제리너스 천안직산점,시간협의,"월급1,900,000",19시간전
울산 중구, 엔제리너스 울산병영점,08:00~23:00,"월급1,830,000",19시간전
서울 중구, 엔제리너스 서울역사점,12:00~23:30,"시급8,720",20시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",20시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",20시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",20시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",20시간전
서울 송파구, 엔제리너스 잠실롯데월드몰B1점,17:30~23:00,"시급8,720",20시간전
대구 전체, 엔제리너스 대구칠성시장역점,시간협의,"월급1,830,000",02/28
울산 북구, 엔제리너스 울산명촌점,19:00~23:30,"시급8,720",02/26
대구 북구, 엔제리너스 칠곡구암역점,24:00~08:00,"월급2,080,000",02/24
울산 중구, 엔제리너스 울산병영점,08:00~23:00,"월급1,830,000",02/23
울산 중구, 엔제리너스 울산병영점,08:30~17:30,"월급1,830,000",02/23
대전 중구, 엔제리너스 대전태평점,18:30~22:00,"시급8,720",02/22
충남 천안시, 엔제리너스 천안직산점,시간협의,"월급1,900,000",02/22
대구 북구, 엔제리너스 칠곡구암역점,24:00~08:00,"월급2,080,000",02/22
경남 진주시, 엔제리너스 진주금호못점,13:00~17:00,"시급8,720",02/21
경남 진주시, 엔제리너스 진주금호못점,19:00~23:00,"시급8,720",02/21
경남 진주시, 엔제리너스 진주금호못점,19:00~23:00,"시급8,720",02/19
서울 강동구, 엔제리너스 강동경희대병원점,07:00~19:00,"시급8,720",02/18
경남 진주시, 엔제리너스 진주금호못점,13:00~17:00,"시급8,720",02/18
