place,title,time,pay,date
서울 마포구, 폴바셋 MBC몰 파크점,07:00~23:00,"시급9,000",23분전
부산 전체, 폴바셋 롯데몰동부산점,09:00~22:00,"시급9,000",28분전
서울 전체, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",36분전
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",38분전
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",56분전
서울 강남구, 폴바셋 압구정2호점,08:00~21:00,"시급9,000",57분전
서울 전체, 폴바셋 구로지밸리몰점,07:00~23:00,"시급9,000",59분전
서울 전체, 폴바셋 서초본점,06:30~22:00,"시급9,000",1시간전
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,000",1시간전
서울 강동구, 폴바셋 올림픽공원북2문점,07:00~22:00,"시급9,000",2시간전
경기 안성시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",2시간전
경기 여주시, 폴바셋 신세계여주아울렛점,12:00~19:00,"시급8,720",2시간전
경기 여주시, 폴바셋 신세계여주아울렛점,08:00~22:00,"시급9,000",2시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",2시간전
서울 서초구, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",2시간전
부산 전체, 폴 바셋 롯데백화점 광복점,09:00~23:00,"시급9,000",2시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",2시간전
전북 전주시, 폴바셋 전주혁신도시점,06:30~23:00,"시급9,000",3시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",3시간전
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",3시간전
서울 중랑구, 폴바셋 NC타워삼성점,06:30~23:00,"시급9,000",3시간전
서울 관악구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",3시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",3시간전
대구 전체, 폴 바셋 대구 신세계백화점 2호점,09:00~23:00,"시급8,800",3시간전
서울 강남구, 폴바셋 강남구청역점,06:30~23:00,"시급8,800",3시간전
서울 전체, 폴바셋 교보문고합정점,09:00~23:00,"시급9,000",4시간전
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",4시간전
서울 서초구, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",4시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",4시간전
서울 중구, 폴바셋 서대문역점,06:00~23:00,"시급9,000",5시간전
서울 관악구, 폴바셋 롯데백화점관악점,07:00~23:00,"시급9,000",5시간전
경기 평택시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",19시간전
부산 전체, 폴바셋 신세계센텀시티몰점,09:00~22:30,"시급9,000",21시간전
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",02/28
대구 동구, 크리스탈제이드코리아,12:30~21:30,"시급8,720",02/27
서울 전체, 크리스탈제이드,시간협의,"시급8,720",02/27
서울 전체, 크리스탈제이드,시간협의,"시급8,720",02/27
서울 강서구, 폴바셋 롯데김포공항점,09:00~23:00,"시급9,000",02/27
서울 전체, 폴바셋 한남커피스테이션,07:00~23:00,"시급9,000",02/27
서울 전체, 폴바셋 롯데월드몰점,07:00~23:00,"시급9,000",02/27
서울 영등포, 폴바셋 여의도IFC점,06:00~23:00,"시급9,000",02/27
서울 중구, 폴바셋 을지로파인에비뉴,06:00~24:00,"시급9,000",02/27
대구 동구, 살바토레쿠오모 신세계대구점,10:00~21:00,"연봉27,500,000",02/27
서울 강동구, 폴바셋 올림픽공원북2문점,07:00~22:00,"시급9,000",02/27
서울 용산구, 폴바셋 용산 아이파크몰점,시간협의,"시급9,000",02/27
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",02/26
서울 강서구, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",02/26
경기 김포시, 폴바셋 현대아울렛김포점,08:00~22:00,"시급8,800",02/26
서울 강남구, 폴바셋 압구정2호점,08:00~21:00,"시급9,000",02/26
충북 청주시, 폴바셋 현대백화점충청점,08:30~22:00,"시급9,000",02/25
