place,title,time,pay,date
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",6시간전
대구 전체, 자라리테일코리아,시간협의,"연봉24,000,000",22시간전
대구 전체, 자라리테일코리아,시간협의,"시급11,370",02/27
충북 청주시, 자라리테일코리아,시간협의,"연봉24,000,000",02/23
경기 전체, 자라홈코리아,시간협의,"연봉24,000,000",02/22
경남 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/21
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/21
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/19
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/19
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/19
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/19
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",02/19
