place,title,time,pay,date
서울 송파구, 장원교육 본사 한서연,10:00~20:00,"월급2,000,000",1시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",4시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",5시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",5시간전
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",02/27
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",02/27
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",02/27
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",02/26
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉20,000,000",02/26
경남 김해시, 장원교육 김해장유,14:00~21:00,"연봉15,000,000",02/26
대구 전체, 장원교육 대구시지,10:00~21:00,"월급1,500,000",02/26
경기 의왕시, 장원교육 의왕,12:00~20:00,"월급1,800,000",02/26
경기 안산시, 장원교육 안산서부,10:00~21:00,"월급1,800,000",02/26
경기 군포시, 장원교육 군포과천,14:00~21:00,"월급2,000,000",02/26
경기 김포시, 장원교육 김포,10:00~20:00,"월급2,000,000",02/26
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",02/26
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",02/26
대전 유성구, 장원교육 서대전,10:00~21:00,"월급1,500,000",02/26
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",02/26
경기 수원시, 장원교육 수원장안,10:00~21:00,"월급2,000,000",02/26
인천 연수구, 장원교육 인천연수,10:00~20:00,"월급1,800,000",02/26
경기 성남시, 장원교육 위례,10:00~20:00,"연봉20,000,000",02/26
서울 송파구, 장원교육 서울송파,10:00~20:00,"월급1,800,000",02/26
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",02/23
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",02/23
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",02/22
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",02/22
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",02/22
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",02/21
경기 안양시, 장원교육 안양동안,13:00~21:00,"월급1,800,000",02/19
서울 광진구, 장원교육 서울동부,10:00~20:00,"연봉2,000,000",02/19
서울 강동구, 장원교육 서울강동,10:00~21:00,"월급1,800,000",02/19
대구 북구, 장원교육 대구동서변,14:00~20:00,"월급1,500,000",02/14
대구 전체, 장원교육 대구동서변,14:30~22:00,"월급1,500,000",02/14
충북 제천시, 장원교육 제천,16:00~21:00,"월급1,600,000",02/14
