place,title,time,pay,date
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",52분전
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),14:00~22:00,"시급9,040",1시간전
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),13:00~22:00,"월급1,822,480",1시간전
광주 동구, 제이디스포츠패션코리아 광주충장로점(직,14:30~22:00,"시급9,040",1시간전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,14:30~22:00,"시급9,040",1시간전
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",2시간전
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",2시간전
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,14:30~22:00,"시급9,040",2시간전
서울 강남구, 제이디스포츠패션코리아 강남점(직),14:30~22:00,"시급9,040",3시간전
서울 강남구, 제이디스포츠패션코리아 강남점(직),14:30~22:00,"시급9,040",3시간전
인천 연수구, 제이디스포츠패션코리아 인천스퀘어원점(,13:30~21:30,"시급9,040",3시간전
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,14:30~22:00,"시급9,040",4시간전
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,14:30~22:00,"시급9,040",4시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,13:00~22:00,"월급1,822,480",5시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,13:00~22:00,"월급1,822,480",20시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,13:00~22:00,"월급1,822,480",20시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,13:00~22:00,"월급1,822,480",20시간전
경기 안성시, 제이디스포츠패션코리아 스타필드안성점(,13:00~22:00,"월급1,822,480",20시간전
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,14:30~22:00,"시급9,040",02/27
인천 연수구, 제이디스포츠패션코리아 인천스퀘어원점(,13:30~21:30,"시급9,040",02/27
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,14:30~22:00,"시급9,040",02/27
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",02/25
인천 연수구, 제이디스포츠패션코리아 인천스퀘어원점(,13:30~21:30,"시급9,040",02/22
경기 성남시, 제이디스포츠패션코리아 현대백화점판교점,12:30~20:00,"시급9,040",02/18
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",02/18
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",02/17
