place,title,time,pay,date
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",24분전
세종 어진동, (주)지오다노,10:00~19:00,"월급1,800,000",1시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",1시간전
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",1시간전
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",3시간전
세종 어진동, (주)지오다노,10:00~19:00,"월급1,800,000",4시간전
대구 전체, (주)지오다노,13:00~22:00,"월급1,823,000",4시간전
부산 전체, (주)지오다노,09:30~18:30,"월급1,823,000",9시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",02/27
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",02/22
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",02/22
