place,title,time,pay,date
경북 구미시, 커피스미스 구미ic만남의광장점,09:00~16:30,"시급8,720",1시간전
경북 구미시, 커피스미스 구미ic만남의광장점,09:00~16:30,"시급8,720",1시간전
경북 구미시, 커피스미스 구미ic만남의광장점,09:00~16:30,"시급8,720",1시간전
경북 구미시, 커피스미스 구미ic만남의광장점,09:00~16:30,"시급8,720",1시간전
대구 달서구, 커피스미스 대구수변공원점,시간협의,"시급8,720",02/26
대구 달서구, 커피스미스 대구수변공원점,시간협의,"시급8,720",02/26
대구 달서구, 커피스미스 대구수변공원점,시간협의,"시급8,720",02/26
대구 달서구, 커피스미스 대구수변공원점,시간협의,"시급8,720",02/26
대구 수성구, 커피스미스 대구수성레이크점,12:00~21:00,"월급1,822,480",02/26
광주 동구, 커피스미스 광주대인점,시간협의,"월급2,000,000",02/23
광주 동구, 커피스미스 광주대인점,시간협의,"월급2,000,000",02/23
광주 동구, 커피스미스 광주대인점,시간협의,"월급2,000,000",02/23
광주 동구, 커피스미스 광주대인점,시간협의,"월급2,000,000",02/21
