place,title,time,pay,date
경기 용인시, 테그42 테그42 기흥점,16:00~20:00,"시급8,720",2시간전
서울 강동구, 테그42 강동점,시간협의,"시급8,720",5시간전
서울 강동구, 테그42 강동점,시간협의,"시급8,720",5시간전
서울 성동구, 테그42 본사,시간협의,"시급8,720",5시간전
서울 강동구, 테그42 강동점,시간협의,"시급8,720",21시간전
서울 강동구, 테그42 강동점,09:00~13:00,"시급8,720",02/28
경기 이천시, 테그42 이천종합경기장점,시간협의,"시급8,720",02/28
경기 이천시, 테그42 이천종합경기장점,시간협의,"시급8,720",02/28
경기 이천시, 테그42 이천종합경기장점,시간협의,"시급8,720",02/28
경기 이천시, 테그42 이천종합경기장점,시간협의,"시급8,720",02/28
경기 이천시, 테그42 이천종합경기장점,시간협의,"시급8,720",02/28
