place,title,time,pay,date
경기 전체, 파파존스 성복점,11:00~22:30,"주급780,000",20분전
서울 중구, 파파존스 을지로점,11:00~22:30,"일급125,000",57분전
인천 서구, 파파존스 청라점,11:00~22:00,"시급10,300",1시간전
경기 남양주, 파파존스 남양주점,10:00~22:30,"시급8,720",1시간전
서울 중구, 파파존스 을지로점,11:00~22:30,"일급125,000",1시간전
충남 아산시, 파파존스 아산온양점,시간협의,"시급8,720",3시간전
서울 노원구, 파파존스 공릉점,시간협의,"시급8,720",5시간전
서울 노원구, 파파존스 공릉점,시간협의,"시급8,720",5시간전
서울 양천구, 파파존스 목동점,11:00~22:30,"시급8,720",6시간전
인천 서구, 파파존스 청라점,11:00~22:00,"시급10,500",6시간전
서울 성동구, 파파존스 왕십리점,시간협의,"월급2,300,000",8시간전
경기 부천시, 파파존스 상동점,시간협의,"월급2,300,000",22시간전
서울 전체, 파파존스 망우점,10:00~22:30,"월급2,500,000",02/28
인천 미추홀, 파파존스 주안점,시간협의,"시급11,000",02/28
경기 부천시, 파파존스 상동점,11:00~22:30,"시급11,000",02/27
경기 수원시, 파파존스 수원정자점,시간협의,"시급11,500",02/27
인천 미추홀, 파파존스 주안점,시간협의,"시급11,000",02/27
서울 강남구, 파파존스 대치점,11:00~22:30,"월급1,600,000",02/26
서울 강남구, 파파존스 청담점,11:00~22:30,"월급2,600,000",02/26
경기 용인시, 파파존스 신갈점,11:00~22:30,"월급2,600,000",02/26
경기 시흥시, 파파존스 배곧점,17:00~22:00,"시급10,000",02/26
부산 북구, 파파존스 부산화명점,10:00~22:30,"시급8,720",02/26
경기 부천시, 파파존스 중동점,09:00~22:30,"시급11,000",02/26
경기 고양시, 파파존스 일산서구점,17:30~22:00,"시급11,000",02/26
경기 성남시, 파파존스 위례점,시간협의,"월급2,500,000",02/25
인천 미추홀, 파파존스 주안점,시간협의,"시급11,000",02/25
인천 미추홀, 파파존스 주안점,시간협의,"시급11,000",02/24
서울 중구, 파파존스 을지로점,11:00~22:30,"일급125,000",02/24
서울 서초구, 파파존스 서초점,11:00~22:30,"시급8,720",02/23
서울 강남구, 파파존스 논현점,16:00~22:30,"시급10,500",02/23
경기 평택시, 파파존스 평택점,17:00~21:00,"시급10,474",02/21
서울 성동구, 파파존스 왕십리점,시간협의,"월급2,300,000",02/21
경기 용인시, 파파존스 수지점,10:00~22:30,"시급8,720",02/21
경기 용인시, 파파존스 수지점,11:00~22:30,"시급8,720",02/21
경기 용인시, 파파존스 수지점,11:00~22:30,"시급8,720",02/21
서울 중랑구, 파파존스 망우점,시간협의,"월급2,500,000",02/21
인천 미추홀, 파파존스 주안점,시간협의,"시급11,000",02/21
경기 성남시, 파파존스 수내점,시간협의,"월급3,000,000",02/20
서울 중구, 파파존스 을지로점,11:00~22:30,"일급125,000",02/20
