place,title,time,pay,date
세종 새롬동, 주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",3시간전
세종 전체, 주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",3시간전
부산 해운대, 주식회사 케이컴퍼니,시간협의,"시급8,720",20시간전
부산 해운대, 주식회사 케이컴퍼니,시간협의,"시급8,720",20시간전
대구 중구, 주식회사 케이컴퍼니,12:00~21:00,"시급8,720",02/28
대구 동구, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/28
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"시급8,720",02/27
경기 평택시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/27
서울 성동구, 주식회사 케이컴퍼니,시간협의,"시급8,720",02/26
경기 김포시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/26
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/23
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/20
경기 수원시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/19
경기 수원시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/19
경기 용인시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/14
경기 용인시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/14
