place,title,time,pay,date
강원 강릉시, 한경기획 청년다방 강릉금학점,시간협의,"시급8,720",1시간전
대전 서구, 한경기획 청년다방 대전갤러리아점,10:30~22:30,"월급2,500,000",1시간전
경기 안산시, 한경기획 청년다방 안산고잔점,10:00~13:00,"시급8,720",1시간전
전남 여수시, 한경기획 청년다방 여수학동점,11:00~17:00,"월급1,200,000",1시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:00,"시급8,720",2시간전
전남 여수시, 한경기획 청년다방 여수학동점,11:00~17:00,"시급9,000",2시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,200,000",2시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,600,000",2시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,500",2시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,500",2시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,500",2시간전
경기 용인시, 한경기획 용인김량장점,시간협의,"시급10,000",3시간전
서울 은평구, 한경기획 청년다방 응암이마트점,19:00~24:00,"시급8,720",3시간전
경기 성남시, 한경기획 청년다방 서현로데오점,14:00~19:00,"시급9,000",4시간전
경기 성남시, 한경기획 청년다방 서현로데오점,10:00~14:00,"시급9,000",4시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,시간협의,"시급8,720",4시간전
충북 청주시, 한경기획 청년다방 청주지웰시티점,시간협의,"시급8,720",4시간전
전북 군산시, 한경기획 군산미장점,17:30~22:00,"시급8,720",6시간전
경기 고양시, 한경기획 고양향동점,시간협의,"시급10,000",7시간전
경기 고양시, 한경기획 고양향동점,16:30~21:30,"시급10,000",7시간전
인천 중구, 한경기획 청년다방 영종하늘도시점,17:30~21:30,"시급8,720",8시간전
충남 천안시, 천안성성점,10:00~22:00,"시급8,720",02/28
전남 여수시, 한경기획 청년다방 여수학동점,11:00~17:00,"시급9,000",02/28
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,500",02/27
전북 군산시, 한경기획 군산미장점,17:30~22:00,"시급8,720",02/27
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,500",02/27
경기 화성시, 한경기획 청년다방 화성병점점,16:00~21:30,"시급9,000",02/26
경기 남양주, 한경기획 남양주별내점,시간협의,"시급8,720",02/26
서울 영등포, 한경기획 청년다방 당산역점,18:30~21:30,"시급8,720",02/26
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",02/25
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",02/25
충남 천안시, 한경기획 청년다방 천안두정역점,18:30~22:00,"시급9,000",02/24
경기 시흥시, 한경기획 청년다방 시흥능곡역점,17:00~22:00,"시급9,000",02/22
경기 성남시, 한경기획 청년다방 판교테크노밸리점,11:00~15:00,"시급10,000",02/22
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~16:00,"시급8,720",02/22
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,720",02/22
충남 천안시, 한경기획 은화수식당 천안쌍용점,10:30~21:00,"월급1,200,000",02/21
경기 안산시, 한경기획 청년다방 안산선부점,03:30~23:00,"시급8,720",02/21
