place,title,time,pay,date
세종 가람동, 할리스커피 세종가람DT점,19:00~22:00,"시급8,720",15분전
경기 시흥시, 할리스커피 시흥은계점,시간협의,"시급8,720",19분전
인천 미추홀, 할리스커피 인천주안역점,07:30~17:00,"시급8,720",27분전
인천 미추홀, 할리스커피 인천주안역점,17:30~22:00,"시급8,720",27분전
인천 미추홀, 할리스커피 인천주안역점,12:00~18:00,"시급8,720",27분전
서울 서대문, 할리스커피 가재울점,17:00~23:00,"시급8,720",30분전
경남 창원시, 할리스커피 할리스 진해속천점,09:00~18:00,"월급2,050,000",42분전
경남 창원시, 할리스커피 할리스 진해속천점,19:00~24:00,"시급8,720",52분전
경기 화성시, 할리스커피 봉담원희캐슬점,13:00~16:00,"시급8,720",1시간전
서울 마포구, 할리스커피 홍대역2번출구점,20:00~24:00,"시급8,720",1시간전
강원 속초시, 할리스커피 속초영랑해변점,11:00~15:30,"시급8,720",1시간전
강원 속초시, 할리스커피 속초영랑해변점,15:30~20:00,"시급8,720",1시간전
서울 마포구, 할리스커피 홍대역2번출구점,07:00~24:00,"시급8,720",1시간전
경기 하남시, 할리스커피 하남덕풍점,시간협의,"시급8,720",2시간전
광주 광산구, 할리스커피 광주첨단점,시간협의,"시급8,720",2시간전
서울 동작구, 할리스커피 장승배기역점,19:00~22:00,"시급8,720",2시간전
부산 남구, 할리스커피 부산대연점,10:00~15:00,"시급8,720",2시간전
충북 청주시, 할리스커피 청주명암레이크점,12:30~15:30,"시급8,720",2시간전
서울 노원구, 할리스커피 당고개역점,17:30~22:00,"시급8,720",2시간전
서울 노원구, 할리스커피 당고개역점,17:30~22:00,"시급8,720",2시간전
서울 노원구, 할리스커피 당고개역점,17:30~22:00,"시급8,720",2시간전
서울 송파구, 할리스커피 가락시장역점,17:30~22:00,"시급8,720",2시간전
충북 청주시, 할리스커피 청주명암레이크점,시간협의,"월급1,830,000",3시간전
경기 화성시, 할리스커피 화성융건릉점,18:00~22:00,"시급8,720",3시간전
대전 유성구, 할리스커피 대전신성점,11:00~14:00,"시급8,720",3시간전
서울 노원구, 할리스커피 수락산역점,시간협의,"시급8,720",3시간전
서울 중구, 할리스커피 명동퍼시픽호텔점,11:00~15:30,"시급8,720",3시간전
서울 중구, 할리스커피 명동퍼시픽호텔점,시간협의,"월급1,850,000",3시간전
경기 양주시, 할리스커피 양주고읍점,15:00~22:00,"시급8,720",3시간전
서울 양천구, 할리스커피 목동예술인회관점,12:00~14:30,"시급8,720",3시간전
서울 강남구, 할리스커피 수서점,16:00~22:00,"시급8,720",3시간전
전남 여수시, 할리스커피 여수웅천점,16:00~23:30,"월급1,280,000",3시간전
전남 여수시, 할리스커피 여수웅천점,16:00~23:30,"월급1,600,000",3시간전
서울 서대문, 할리스커피 가재울점,17:00~23:00,"시급8,720",3시간전
인천 남동구, 할리스커피 인천소래역점,16:30~22:00,"시급8,720",3시간전
서울 서대문, 할리스커피 이대점,14:30~17:00,"시급8,720",3시간전
경기 남양주, 할리스커피 다산센트럴점,12:00~16:00,"시급8,720",4시간전
서울 종로구, 할리스커피 종로코리안리빌딩점,12:00~14:00,"시급8,720",4시간전
충북 청주시, 할리스커피 청주동남점,13:00~16:30,"시급8,720",4시간전
서울 동작구, 할리스커피 대방역점,11:00~15:30,"시급8,720",4시간전
인천 연수구, 할리스커피 송도IT점,08:00~10:30,"시급8,720",4시간전
경기 남양주, 할리스커피 다산센트럴점,12:00~16:00,"시급8,720",4시간전
서울 강북구, 할리스커피 미아역점,시간협의,"시급8,720",5시간전
전북 익산시, 할리스커피 익산부송점,12:30~17:00,"시급8,720",5시간전
인천 남동구, 할리스커피 인천소래역점,16:30~22:00,"시급8,720",5시간전
경기 하남시, 할리스커피 하남미사강변점,09:00~22:00,"시급8,720",18시간전
경남 양산시, 할리스커피 양산석산점,10:00~16:00,"시급8,720",20시간전
서울 강남구, 할리스커피 강남대로논현점,15:00~24:00,"월급1,600,000",23시간전
충북 청주시, 할리스커피 청주명암레이크점,12:30~15:30,"시급8,720",23시간전
부산 부산진, 할리스커피 부산서면본점,23:00~06:00,"시급8,720",02/28
