place,title,time,pay,date
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",4시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",4시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",4시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",4시간전
서울 동작구, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,600,000",5시간전
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급8,720",5시간전
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급8,720",5시간전
경기 수원시, 호식이두마리치킨 천천점,시간협의,"시급8,720",5시간전
경기 광주시, 호식이두마리치킨 경기송정점,17:30~10:00,"시급9,000",6시간전
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급8,720",02/27
경기 용인시, 호식이두마리치킨 수지1호점,18:00~12:00,"시급9,000",02/27
서울 구로구, 호식이두마리치킨 대림점,17:00~03:00,"월급2,300,000",02/27
서울 구로구, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",02/27
서울 영등포, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",02/27
서울 구로구, 호식이두마리치킨 대림점,18:00~24:00,"시급8,720",02/27
서울 영등포, 호식이두마리치킨 대림점,18:00~24:00,"시급8,720",02/27
충남 아산시, 모종점,18:00~02:00,"시급8,720",02/26
충남 아산시, 모종점,18:00~02:00,"시급8,720",02/26
충남 아산시, 모종점,18:00~02:00,"시급8,720",02/26
충남 아산시, 모종점,18:00~02:00,"시급8,720",02/26
충남 아산시, 모종점,18:00~02:00,"시급8,720",02/26
경북 포항시, 호식이두마리치킨 문덕점,17:00~23:00,"시급9,000",02/26
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",02/26
서울 광진구, 호식이두마리치킨 중곡점,17:00~24:00,"시급9,000",02/24
인천 서구, 호식이두마리치킨 인천연희점,17:00~24:00,"시급8,720",02/23
서울 영등포, 호식이두마리치킨 신길1호점,18:00~22:00,"시급8,720",02/23
서울 영등포, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,700,000",02/23
경기 안산시, 호식이두마리치킨 본오1호점,18:00~21:00,"시급8,720",02/23
인천 서구, 호식이두마리치킨 석남점,18:00~11:00,"시급9,000",02/22
전남 순천시, 호식이두마리치킨 조례점,18:00~21:00,"시급10,000",02/21
전북 정읍시, 호식이두마리치킨 정읍1호점,18:00~20:00,"시급9,000",02/20
전북 정읍시, 호식이두마리치킨 정읍1호점,18:00~20:00,"시급9,000",02/20
