place,title,time,pay,date
경기 시흥시, 호치킨 시흥목감역점,06:00~11:00,"시급8,800",16분전
경기 용인시, 호치킨 용인동천점,18:00~23:00,"시급8,720",3시간전
서울 구로구, 호치킨 구일점,18:00~22:00,"시급11,000",3시간전
경기 용인시, 호치킨 용인동천점,18:00~23:00,"시급8,720",4시간전
인천 연수구, 호치킨 송도퍼스트파크점(양1),18:00~22:00,"시급9,000",4시간전
경기 화성시, 호치킨 화성동탄에듀몰점,19:00~24:00,"시급9,000",5시간전
경기 화성시, 호치킨 화성동탄에듀몰점,19:00~24:00,"시급9,000",5시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",5시간전
경기 화성시, 호치킨 화성동탄에듀몰점,19:00~24:00,"시급9,000",5시간전
경기 화성시, 호치킨 화성동탄에듀몰점,19:00~24:00,"시급9,000",5시간전
경기 화성시, 호치킨 화성동탄에듀몰점,19:00~24:00,"시급9,000",5시간전
서울 영등포, 호치킨 호치킨양평역점(현-1),13:00~22:00,"월급2,400,000",5시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",5시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",6시간전
인천 부평구, 호치킨 산곡점,17:30~23:30,"시급9,000",7시간전
인천 계양구, 호치킨 인천효성점(현),18:00~22:00,"시급8,720",7시간전
인천 계양구, 호치킨 인천효성점(현),18:00~22:00,"시급8,720",7시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",7시간전
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,720",7시간전
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,720",7시간전
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,720",7시간전
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,720",7시간전
인천 남동구, 호치킨 관교점,18:00~01:00,"시급8,720",7시간전
서울 노원구, 호치킨 노원역점,17:00~02:30,"월급2,250,000",7시간전
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",20시간전
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",20시간전
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",20시간전
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",20시간전
경기 광주시, 호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",20시간전
경기 수원시, 호치킨 수원매탄위브점,17:30~00:30,"시급9,000",02/27
경기 수원시, 호치킨 수원매탄위브점,17:30~21:30,"시급9,000",02/27
서울 영등포, 호치킨 호치킨양평역점(현-1),13:00~22:00,"월급2,400,000",02/27
경기 수원시, 호치킨 수원매탄위브점,21:30~00:30,"시급9,000",02/27
인천 남동구, 호치킨 서창2지구점(현-2),18:00~22:00,"시급8,720",02/27
인천 남동구, 호치킨 서창2지구점(현-2),18:00~24:00,"시급8,720",02/27
경기 고양시, 호치킨 일산후곡마을점,시간협의,"시급8,800",02/27
경기 수원시, 호치킨 수원영통점,18:00~23:00,"시급9,000",02/27
경기 의정부, 호치킨 회룡역점,18:00~00:30,"시급10,464",02/26
인천 연수구, 호치킨 송도퍼스트파크점(양1),17:00~23:00,"시급9,000",02/26
인천 연수구, 호치킨 송도퍼스트파크점(양1),18:00~21:00,"시급9,000",02/26
인천 연수구, 호치킨 송도퍼스트파크점(양1),23:00~01:00,"시급9,000",02/26
서울 영등포, 호치킨 호치킨양평역점(현-1),18:00~22:00,"시급8,720",02/26
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"시급11,000",02/26
서울 영등포, 호치킨 호치킨양평역점(현-1),13:00~22:00,"월급2,400,000",02/24
경기 수원시, 호치킨 수원영통점,18:00~23:00,"시급9,000",02/22
경기 용인시, 호치킨 동백골드프라자점,17:00~01:00,"시급11,000",02/21
인천 남동구, 호치킨 인천논현역점(양1),시간협의,"시급8,720",02/21
경기 수원시, 호치킨 수원영통점,18:00~23:00,"시급9,000",02/21
경북 상주시, 호치킨 호치킨 상주북천점,17:00~24:00,"시급8,720",02/20
경기 용인시, 호치킨 용인동천점,19:00~23:00,"시급8,720",02/20
